,correct,correct,correct,errors,errors,errors,,,
dataset,coil20,olivetti,yaleA,coil20,olivetti,yaleA,,,
cvi,,,,,,,,,
cSIL,0,0,0,217,201,166,,0,584
GD43,0,1,1,134,143,154,,2,431
GD53,0,1,0,204,92,189,,1,485
PS,0,2,0,96,71,183,,2,350
WB,0,1,0,164,71,152,,1,387
XB,0,0,1,147,170,130,,1,447
SSE,2,0,2,18,110,51,,4,179
RS,0,1,0,222,125,169,,1,516
DH,1,1,2,116,149,82,,4,347
B,2,0,1,68,135,90,,3,293
BH,2,0,3,67,91,21,,5,179
D,0,1,1,197,94,123,,2,414
H,0,1,0,210,128,193,,1,531
DBCV,3,3,2,19,14,86,,8,119
I,0,0,0,152,102,156,,0,410
C,1,0,0,117,86,102,,1,305
VIASCKDE,0,0,0,303,282,296,,0,881
COP,1,3,2,95,72,24,,6,191
Sym,0,0,0,135,84,108,,0,327
CS,1,1,2,136,146,78,,4,360
SF,0,0,0,303,282,275,,0,860
SD,0,1,2,199,155,53,,3,407
SDbw,0,0,0,303,282,296,,0,881
XB*,0,1,1,141,125,120,,2,386
S,2,1,1,44,64,70,,4,178
DB,0,1,1,163,133,80,,2,376
CH,1,1,0,101,41,109,,2,251
ED-S,0,0,0,303,282,296,,0,881
ED-DB,0,0,0,303,282,296,,0,881
ED-CH,0,0,0,303,282,296,,0,881
AD-S,3,2,3,18,73,6,,8,97
AD-DB,2,1,2,43,189,80,,5,312
AD-CH,0,1,0,92,86,155,,1,333
AD-idea,1,2,2,44,23,22,,5,89
