,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.674,0.724*,0.711*,0.623,0.721*,0.025,0.000s
GD43 (↑),0.973,1.484*,1.380*,1.106*,1.372*,0.115,0.000s
GD53 (↑),0.382,0.490*,0.476*,0.498*,0.455*,0.483*,0.000s
PS (↑),1.532,1.931*,1.963*,1.947*,1.868*,1.899*,0.000s
rCIP (↓),0.108,0.026*,0.030*,0.099*,0.044*,0.333,0.003s
WB (↓),4.163,3.047*,3.252*,4.850,3.079*,299.749,0.000s
XB (↓),0.481,0.381*,0.406*,0.606,0.384*,37.427,0.000s
SSE (↓),76.767,68.610*,70.365*,80.461,68.892*,112.891,0.000s
RS (↑),-0.192,-0.208,-0.238,-0.416,-0.218,-0.984,0.000s
DH (↓),0.602,0.604,0.615,0.697,0.603,0.986,0.000s
B (↓),0.902,0.768*,0.820*,1.222,0.772*,75.399,0.000s
BH (↓),38.383,34.305*,35.182*,40.230,34.446*,56.445,0.000s
D (↑),0.135,0.281*,0.228*,0.198*,0.245*,0.029,0.000s
H (↓),0.566,0.552*,0.578,0.755,0.556*,1.948,0.000s
DBCV (↑),0.457,-0.557,-0.676,-0.779,-0.472,-0.695,0.007s
I (↑),0.281,0.332*,0.310*,0.201,0.351*,0.003,0.000s
C (↓),0.260,0.192*,0.204*,0.279,0.190*,0.497,0.002s
CDbw (↑),0.053,0.026,0.020,0.017,0.024,0.010,0.007s
VIASCKDE (↑),0.401,0.376,0.374,0.303,0.363,0.007,0.003s
COP (↓),0.251,0.265,0.230*,0.249*,0.228*,0.298,0.003s
Sym (↑),0.018,0.040*,0.038*,0.022*,0.027*,0.003,0.000s
CS (↓),1.667,1.577*,1.825,2.023,1.625*,15.123,0.000s
SF (↑),0.346,0.339,0.334,0.306,0.346,0.241,0.000s
SD (↓),979.625,932.354*,954.340*,1231.038,1055.070,1685.967,0.006s
SDbw (↓),1.574,1.592,1.657,1.987,1.619,2.937,0.002s
XB* (↓),0.630,0.389*,0.427*,0.608*,0.421*,38.745,0.000s
S (↑),0.332,0.374*,0.362*,0.277,0.376*,0.006,0.003s
DB (↓),1.143,1.127*,1.166,1.447,1.097*,11.492,0.001s
CH (↑),114.331,156.214*,146.385*,98.154,154.600*,1.588,0.000s
AD-S (↑),0.137,0.139*,0.116,0.009,0.156*,0.017,0.009s
AD-DB (↓),1.743,1.705*,1.741*,1.995,1.687*,1.911,0.006s
AD-CH (↑),248.486,249.887*,245.159,236.480,254.037*,225.240,0.010s
AD-idea (↑),1.253,1.071,0.554,1.325*,1.231,0.614,0.016s
