,labels_compound_HDBSCAN_params1,labels_compound_HDBSCAN_params10,labels_compound_HDBSCAN_params11,labels_compound_HDBSCAN_params12,labels_compound_HDBSCAN_params13,labels_compound_HDBSCAN_params14,labels_compound_HDBSCAN_params15,labels_compound_HDBSCAN_params16,labels_compound_HDBSCAN_params17,labels_compound_HDBSCAN_params18,labels_compound_HDBSCAN_params19,labels_compound_HDBSCAN_params2,labels_compound_HDBSCAN_params20,labels_compound_HDBSCAN_params21,labels_compound_HDBSCAN_params22,labels_compound_HDBSCAN_params23,labels_compound_HDBSCAN_params24,labels_compound_HDBSCAN_params25,labels_compound_HDBSCAN_params26,labels_compound_HDBSCAN_params27,labels_compound_HDBSCAN_params28,labels_compound_HDBSCAN_params29,labels_compound_HDBSCAN_params3,labels_compound_HDBSCAN_params30,labels_compound_HDBSCAN_params31,labels_compound_HDBSCAN_params32,labels_compound_HDBSCAN_params33,labels_compound_HDBSCAN_params34,labels_compound_HDBSCAN_params35,labels_compound_HDBSCAN_params36,labels_compound_HDBSCAN_params37,labels_compound_HDBSCAN_params38,labels_compound_HDBSCAN_params39,labels_compound_HDBSCAN_params4,labels_compound_HDBSCAN_params40,labels_compound_HDBSCAN_params41,labels_compound_HDBSCAN_params42,labels_compound_HDBSCAN_params43,labels_compound_HDBSCAN_params44,labels_compound_HDBSCAN_params45,labels_compound_HDBSCAN_params46,labels_compound_HDBSCAN_params47,labels_compound_HDBSCAN_params48,labels_compound_HDBSCAN_params49,labels_compound_HDBSCAN_params5,labels_compound_HDBSCAN_params50,labels_compound_HDBSCAN_params51,labels_compound_HDBSCAN_params52,labels_compound_HDBSCAN_params53,labels_compound_HDBSCAN_params54,labels_compound_HDBSCAN_params55,labels_compound_HDBSCAN_params56,labels_compound_HDBSCAN_params57,labels_compound_HDBSCAN_params58,labels_compound_HDBSCAN_params59,labels_compound_HDBSCAN_params6,labels_compound_HDBSCAN_params60,labels_compound_HDBSCAN_params61,labels_compound_HDBSCAN_params62,labels_compound_HDBSCAN_params63,labels_compound_HDBSCAN_params7,labels_compound_HDBSCAN_params8,labels_compound_HDBSCAN_params9
cSIL,0.9178013728964673,0.935347604868729,0.935347604868729,0.935347604868729,0.8359139598758878,0.8359139598758878,0.9393320075179655,0.9393320075179655,0.9393320075179655,0.9393320075179655,0.9393320075179655,0.9178013728964673,0.9393320075179655,0.8437211685711506,0.9178013728964673,0.9178013728964673,0.9178013728964673,0.9178013728964673,0.9178013728964673,0.8183516483403379,0.8183516483403379,0.935347604868729,0.9178013728964673,0.935347604868729,0.935347604868729,0.935347604868729,0.935347604868729,0.8359139598758878,0.8359139598758878,0.9393320075179655,0.9393320075179655,0.9393320075179655,0.9393320075179655,0.9178013728964673,0.9393320075179655,0.9393320075179655,0.8437211685711506,0.9178013728964673,0.9178013728964673,0.9178013728964673,0.9178013728964673,0.9178013728964673,0.8183516483403379,0.8183516483403379,0.9178013728964673,0.935347604868729,0.935347604868729,0.935347604868729,0.935347604868729,0.935347604868729,0.8359139598758878,0.8359139598758878,0.9393320075179655,0.9393320075179655,0.9393320075179655,0.8183516483403379,0.9393320075179655,0.9393320075179655,0.9393320075179655,0.8437211685711506,0.8183516483403379,0.935347604868729,0.935347604868729
GD43,4.09465275335524,5.663065626649382,5.663065626649382,5.663065626649382,1.5014855966020553,1.5014855966020553,5.656649163153698,5.656649163153698,5.656649163153698,5.656649163153698,5.656649163153698,4.09465275335524,5.656649163153698,1.5848096403718637,4.09465275335524,4.09465275335524,4.09465275335524,4.09465275335524,4.09465275335524,1.3401242139376577,1.3401242139376577,5.663065626649382,4.09465275335524,5.663065626649382,5.663065626649382,5.663065626649382,5.663065626649382,1.5014855966020553,1.5014855966020553,5.656649163153698,5.656649163153698,5.656649163153698,5.656649163153698,4.09465275335524,5.656649163153698,5.656649163153698,1.5848096403718637,4.09465275335524,4.09465275335524,4.09465275335524,4.09465275335524,4.09465275335524,1.3401242139376577,1.3401242139376577,4.09465275335524,5.663065626649382,5.663065626649382,5.663065626649382,5.663065626649382,5.663065626649382,1.5014855966020553,1.5014855966020553,5.656649163153698,5.656649163153698,5.656649163153698,1.3401242139376577,5.656649163153698,5.656649163153698,5.656649163153698,1.5848096403718637,1.3401242139376577,5.663065626649382,5.663065626649382
GD53,0.36417194784775636,0.40618156277318235,0.40618156277318235,0.40618156277318235,0.3236727335737601,0.3236727335737601,0.3465475848681882,0.3465475848681882,0.3465475848681882,0.3465475848681882,0.3465475848681882,0.36417194784775636,0.3465475848681882,0.31871828932313717,0.36417194784775636,0.36417194784775636,0.36417194784775636,0.36417194784775636,0.36417194784775636,0.3281170751381902,0.3281170751381902,0.40618156277318235,0.36417194784775636,0.40618156277318235,0.40618156277318235,0.40618156277318235,0.40618156277318235,0.3236727335737601,0.3236727335737601,0.3465475848681882,0.3465475848681882,0.3465475848681882,0.3465475848681882,0.36417194784775636,0.3465475848681882,0.3465475848681882,0.31871828932313717,0.36417194784775636,0.36417194784775636,0.36417194784775636,0.36417194784775636,0.36417194784775636,0.3281170751381902,0.3281170751381902,0.36417194784775636,0.40618156277318235,0.40618156277318235,0.40618156277318235,0.40618156277318235,0.40618156277318235,0.3236727335737601,0.3236727335737601,0.3465475848681882,0.3465475848681882,0.3465475848681882,0.3281170751381902,0.3465475848681882,0.3465475848681882,0.3465475848681882,0.31871828932313717,0.3281170751381902,0.40618156277318235,0.40618156277318235
PS,2.0208843538074595,1.8736039476849484,1.8736039476849484,1.8736039476849484,1.8556764145302238,1.8556764145302238,1.7575065845325817,1.7575065845325817,1.7575065845325817,1.7575065845325817,1.7575065845325817,2.0208843538074595,1.7575065845325817,1.9354357613286768,2.0208843538074595,2.0208843538074595,2.0208843538074595,2.0208843538074595,2.0208843538074595,1.7652120401948816,1.7652120401948816,1.8736039476849484,2.0208843538074595,1.8736039476849484,1.8736039476849484,1.8736039476849484,1.8736039476849484,1.8556764145302238,1.8556764145302238,1.7575065845325817,1.7575065845325817,1.7575065845325817,1.7575065845325817,2.0208843538074595,1.7575065845325817,1.7575065845325817,1.9354357613286768,2.0208843538074595,2.0208843538074595,2.0208843538074595,2.0208843538074595,2.0208843538074595,1.7652120401948816,1.7652120401948816,2.0208843538074595,1.8736039476849484,1.8736039476849484,1.8736039476849484,1.8736039476849484,1.8736039476849484,1.8556764145302238,1.8556764145302238,1.7575065845325817,1.7575065845325817,1.7575065845325817,1.7652120401948816,1.7575065845325817,1.7575065845325817,1.7575065845325817,1.9354357613286768,1.7652120401948816,1.8736039476849484,1.8736039476849484
rCIP,0.005950163407899251,0.003706934511953629,0.003706934511953629,0.003706934511953629,0.0019263935910053683,0.0019263935910053683,0.0022599892508838827,0.0022599892508838827,0.0022599892508838827,0.0022599892508838827,0.0022599892508838827,0.005950163407899251,0.0022599892508838827,0.000994021410108659,0.005950163407899251,0.005950163407899251,0.005950163407899251,0.005950163407899251,0.005950163407899251,0.008001890388488024,0.008001890388488024,0.003706934511953629,0.005950163407899251,0.003706934511953629,0.003706934511953629,0.003706934511953629,0.003706934511953629,0.0019263935910053683,0.0019263935910053683,0.0022599892508838827,0.0022599892508838827,0.0022599892508838827,0.0022599892508838827,0.005950163407899251,0.0022599892508838827,0.0022599892508838827,0.000994021410108659,0.005950163407899251,0.005950163407899251,0.005950163407899251,0.005950163407899251,0.005950163407899251,0.008001890388488024,0.008001890388488024,0.005950163407899251,0.003706934511953629,0.003706934511953629,0.003706934511953629,0.003706934511953629,0.003706934511953629,0.0019263935910053683,0.0019263935910053683,0.0022599892508838827,0.0022599892508838827,0.0022599892508838827,0.008001890388488024,0.0022599892508838827,0.0022599892508838827,0.0022599892508838827,0.000994021410108659,0.008001890388488024,0.003706934511953629,0.003706934511953629
WB,0.6987526501620773,0.5443317376390586,0.5443317376390586,0.5443317376390586,1.5130978828587112,1.5130978828587112,0.5152713402096305,0.5152713402096305,0.5152713402096305,0.5152713402096305,0.5152713402096305,0.6987526501620773,0.5152713402096305,1.3984998059743459,0.6987526501620773,0.6987526501620773,0.6987526501620773,0.6987526501620773,0.6987526501620773,1.7530888470239074,1.7530888470239074,0.5443317376390586,0.6987526501620773,0.5443317376390586,0.5443317376390586,0.5443317376390586,0.5443317376390586,1.5130978828587112,1.5130978828587112,0.5152713402096305,0.5152713402096305,0.5152713402096305,0.5152713402096305,0.6987526501620773,0.5152713402096305,0.5152713402096305,1.3984998059743459,0.6987526501620773,0.6987526501620773,0.6987526501620773,0.6987526501620773,0.6987526501620773,1.7530888470239074,1.7530888470239074,0.6987526501620773,0.5443317376390586,0.5443317376390586,0.5443317376390586,0.5443317376390586,0.5443317376390586,1.5130978828587112,1.5130978828587112,0.5152713402096305,0.5152713402096305,0.5152713402096305,1.7530888470239074,0.5152713402096305,0.5152713402096305,0.5152713402096305,1.3984998059743459,1.7530888470239074,0.5443317376390586,0.5443317376390586
XB,0.09022167760135223,0.07129665811750241,0.07129665811750241,0.07129665811750241,0.18852465524414508,0.18852465524414508,0.06893042739821204,0.06893042739821204,0.06893042739821204,0.06893042739821204,0.06893042739821204,0.09022167760135223,0.06893042739821204,0.17477740354579915,0.09022167760135223,0.09022167760135223,0.09022167760135223,0.09022167760135223,0.09022167760135223,0.21648579184440409,0.21648579184440409,0.07129665811750241,0.09022167760135223,0.07129665811750241,0.07129665811750241,0.07129665811750241,0.07129665811750241,0.18852465524414508,0.18852465524414508,0.06893042739821204,0.06893042739821204,0.06893042739821204,0.06893042739821204,0.09022167760135223,0.06893042739821204,0.06893042739821204,0.17477740354579915,0.09022167760135223,0.09022167760135223,0.09022167760135223,0.09022167760135223,0.09022167760135223,0.21648579184440409,0.21648579184440409,0.09022167760135223,0.07129665811750241,0.07129665811750241,0.07129665811750241,0.07129665811750241,0.07129665811750241,0.18852465524414508,0.18852465524414508,0.06893042739821204,0.06893042739821204,0.06893042739821204,0.21648579184440409,0.06893042739821204,0.06893042739821204,0.06893042739821204,0.17477740354579915,0.21648579184440409,0.07129665811750241,0.07129665811750241
SSE,43.284122525909325,31.863596567852255,31.863596567852255,31.863596567852255,90.95531898159447,90.95531898159447,28.216061703382344,28.216061703382344,28.216061703382344,28.216061703382344,28.216061703382344,43.284122525909325,28.216061703382344,81.68629244869771,43.284122525909325,43.284122525909325,43.284122525909325,43.284122525909325,43.284122525909325,108.27168944686403,108.27168944686403,31.863596567852255,43.284122525909325,31.863596567852255,31.863596567852255,31.863596567852255,31.863596567852255,90.95531898159447,90.95531898159447,28.216061703382344,28.216061703382344,28.216061703382344,28.216061703382344,43.284122525909325,28.216061703382344,28.216061703382344,81.68629244869771,43.284122525909325,43.284122525909325,43.284122525909325,43.284122525909325,43.284122525909325,108.27168944686403,108.27168944686403,43.284122525909325,31.863596567852255,31.863596567852255,31.863596567852255,31.863596567852255,31.863596567852255,90.95531898159447,90.95531898159447,28.216061703382344,28.216061703382344,28.216061703382344,108.27168944686403,28.216061703382344,28.216061703382344,28.216061703382344,81.68629244869771,108.27168944686403,31.863596567852255,31.863596567852255
RS,0.4292298734147114,0.5423535598838214,0.5423535598838214,0.5423535598838214,0.1669140721616501,0.1669140721616501,0.575344704148765,0.575344704148765,0.575344704148765,0.575344704148765,0.575344704148765,0.4292298734147114,0.575344704148765,0.1837156997571729,0.4292298734147114,0.4292298734147114,0.4292298734147114,0.4292298734147114,0.4292298734147114,0.1262585370591872,0.1262585370591872,0.5423535598838214,0.4292298734147114,0.5423535598838214,0.5423535598838214,0.5423535598838214,0.5423535598838214,0.1669140721616501,0.1669140721616501,0.575344704148765,0.575344704148765,0.575344704148765,0.575344704148765,0.4292298734147114,0.575344704148765,0.575344704148765,0.1837156997571729,0.4292298734147114,0.4292298734147114,0.4292298734147114,0.4292298734147114,0.4292298734147114,0.1262585370591872,0.1262585370591872,0.4292298734147114,0.5423535598838214,0.5423535598838214,0.5423535598838214,0.5423535598838214,0.5423535598838214,0.1669140721616501,0.1669140721616501,0.575344704148765,0.575344704148765,0.575344704148765,0.1262585370591872,0.575344704148765,0.575344704148765,0.575344704148765,0.1837156997571729,0.1262585370591872,0.5423535598838214,0.5423535598838214
DH,0.32795223594709977,0.29348056728413197,0.29348056728413197,0.29348056728413197,0.4359897841979301,0.4359897841979301,0.2783892296861157,0.2783892296861157,0.2783892296861157,0.2783892296861157,0.2783892296861157,0.32795223594709977,0.2783892296861157,0.4249422870953266,0.32795223594709977,0.32795223594709977,0.32795223594709977,0.32795223594709977,0.32795223594709977,0.4550813190790143,0.4550813190790143,0.29348056728413197,0.32795223594709977,0.29348056728413197,0.29348056728413197,0.29348056728413197,0.29348056728413197,0.4359897841979301,0.4359897841979301,0.2783892296861157,0.2783892296861157,0.2783892296861157,0.2783892296861157,0.32795223594709977,0.2783892296861157,0.2783892296861157,0.4249422870953266,0.32795223594709977,0.32795223594709977,0.32795223594709977,0.32795223594709977,0.32795223594709977,0.4550813190790143,0.4550813190790143,0.32795223594709977,0.29348056728413197,0.29348056728413197,0.29348056728413197,0.29348056728413197,0.29348056728413197,0.4359897841979301,0.4359897841979301,0.2783892296861157,0.2783892296861157,0.2783892296861157,0.4550813190790143,0.2783892296861157,0.2783892296861157,0.2783892296861157,0.4249422870953266,0.4550813190790143,0.29348056728413197,0.29348056728413197
