,labels_dense_MeanShift_params1,labels_dense_MeanShift_params10,labels_dense_MeanShift_params11,labels_dense_MeanShift_params12,labels_dense_MeanShift_params13,labels_dense_MeanShift_params14,labels_dense_MeanShift_params15,labels_dense_MeanShift_params16,labels_dense_MeanShift_params17,labels_dense_MeanShift_params18,labels_dense_MeanShift_params19,labels_dense_MeanShift_params2,labels_dense_MeanShift_params20,labels_dense_MeanShift_params21,labels_dense_MeanShift_params22,labels_dense_MeanShift_params23,labels_dense_MeanShift_params24,labels_dense_MeanShift_params25,labels_dense_MeanShift_params26,labels_dense_MeanShift_params27,labels_dense_MeanShift_params28,labels_dense_MeanShift_params29,labels_dense_MeanShift_params3,labels_dense_MeanShift_params30,labels_dense_MeanShift_params31,labels_dense_MeanShift_params32,labels_dense_MeanShift_params4,labels_dense_MeanShift_params5,labels_dense_MeanShift_params6,labels_dense_MeanShift_params7,labels_dense_MeanShift_params8,labels_dense_MeanShift_params9
cSIL,0.9379113279975306,0.8690746874760215,0.8615605688308258,0.8450678322372687,0.9101790896017098,0.9119772364347251,0.8341530649507971,0.8690746874760215,0.8465151131676949,0.8806686150308515,0.8453419377801483,0.955728774758879,0.8759103728654166,0.8487388536602142,0.8829336206387534,0.8623667220646982,0.869345552649816,0.8795125231665243,0.9110716833375503,0.8975081012895019,0.8975081012895019,0.8985201601429658,0.9224177093322542,0.8985201601429658,0.8975081012895019,0.8975081012895019,0.9260501892578732,0.8970670169558692,0.8850960690050276,0.9101790896017098,0.9119772364347251,0.8341530649507971
GD43,7.6063582722134315,3.421999587498348,3.710277162570936,2.6034489598727024,5.982802122076109,5.130997430530833,2.002553379314254,3.421999587498348,3.054919376743931,3.5167726889311663,2.6541778658403996,7.118228990332154,3.2173081377121475,2.888022728757294,2.973850793998629,2.477427078290108,2.160246395867887,3.894134160605692,5.6415127959403435,2.145028882455284,2.145028882455284,2.2091567841865567,7.726066079864158,2.2091567841865567,2.145028882455284,2.145028882455284,6.070986993563418,5.656882986451203,3.5387515766228486,5.982802122076109,5.130997430530833,2.002553379314254
GD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05989008218217941,0.0522604464974187,0.04674572726088906,0.0,0.046985775305869226,0.053726270970642934,0.040869733045089285,0.03815200847792085,0.05402387198331712,0.0,0.0,0.2547952702321014,0.2547952702321014,0.26167255731539585,0.0,0.26167255731539585,0.2547952702321014,0.2547952702321014,0.0,0.0,0.0,0.0,0.0,0.0
PS,-34.74682237078426,-9.678028287796547,-10.75292948508196,-10.166308401298082,-23.653717516764537,-24.859970861747392,-9.121499068875053,-9.678028287796547,-3.254248890175873,-4.205324934727717,-3.3842571540841413,-40.13721321664542,-4.172831472109323,-3.333702378657231,-3.1850466095273773,-1.6759145902658203,-1.487919276965958,-17.797182572351474,-16.737129095258716,1.7651705240243334,1.7651705240243334,1.7490830079368171,-28.72368828114349,1.7490830079368171,1.7651705240243334,1.7651705240243334,-34.19563773953925,-12.51506816130053,-13.586131059587792,-23.653717516764537,-24.859970861747392,-9.121499068875053
rCIP,15.311772763486934,5.873851390754622,5.523519441137632,4.481368440004124,11.188251272556402,12.60896162854327,4.534584060081894,5.873851390754622,2.3291091724763193,1.5335179626510596,2.1750905821090036,9.093501161911142,1.8797497207604967,2.3201810916037027,1.2659644622859882,1.0183755501564162,1.1049866031846098,10.094215709780139,3.429579244530752,0.00464204649091993,0.00464204649091993,0.004490147079384657,19.51115191286074,0.004490147079384657,0.00464204649091993,0.00464204649091993,21.673926848259235,4.058057920344304,5.175542426237264,11.188251272556402,12.60896162854327,4.534584060081894
WB,0.29307479064719927,0.5225985150355587,0.447570537020161,0.4851643655015432,0.3099040503788796,0.33151635746131747,0.4860667986025138,0.5225985150355587,0.4966610701006645,0.5706529075661118,0.538728453001399,0.2737131710138766,0.5723970568836798,0.5507894612772051,0.6750327522899816,0.6987633499461698,0.7566194613899743,0.3798586562508207,0.3741827878646026,0.7861002495816167,0.7861002495816167,0.7845836770983361,0.30493687200045944,0.7845836770983361,0.7861002495816167,0.7861002495816167,0.32128583421790124,0.3922621595631712,0.4179433282518278,0.3099040503788796,0.33151635746131747,0.4860667986025138
XB,0.1826922962320756,0.1566881408679782,0.1822934239749561,0.20683294515490747,0.1694347033587174,0.30134788881598334,0.17246847016287145,0.1566881408679782,0.17359014293754335,0.12625188489885772,0.15129646849845899,0.20532582783647127,0.12228731807084739,0.17236302232629475,0.13955572798512508,0.16167483660878304,0.16295434859943048,0.14995751998465298,0.13991652346012778,0.0970735545702099,0.0970735545702099,0.096660709018515,0.1495386246072583,0.096660709018515,0.0970735545702099,0.0970735545702099,0.1621014124836654,0.1281297177522817,0.25318307212784463,0.1694347033587174,0.30134788881598334,0.17246847016287145
SSE,0.731249435853027,3.258773115207793,2.6429614609244916,3.0322144771665367,1.0534331825048666,1.0901539966612408,3.233844494566813,3.258773115207793,5.388321304810316,5.562045343040497,5.8189380194533165,0.6094325540268446,5.578124848513762,5.9416990911738985,7.188473972746978,9.351331470693719,10.050075530221523,1.6052960887387693,1.6493456289880746,29.070031233445498,29.070031233445498,29.029750213494903,0.8898950789670825,29.029750213494903,29.070031233445498,29.070031233445498,0.8209590745687565,2.0840697250610694,2.108966621278115,1.0534331825048666,1.0901539966612408,3.233844494566813
RS,0.7970196162714875,0.37893083183118104,0.38610915237593696,0.3406310534417905,0.6496382869570267,0.6824217998128304,0.31185922524831794,0.37893083183118104,0.3166756319850073,0.30204626645258265,0.32630127126890396,0.8547463906619258,0.2899830113721764,0.325664072005932,0.2673592121371515,0.21788138582998479,0.21728539135498276,0.4928749893731592,0.5815450800622063,0.3818816553492962,0.3818816553492962,0.3814898919253609,0.7178529757034464,0.3814898919253609,0.3818816553492962,0.3818816553492962,0.7643313295553797,0.5186496253809043,0.49509700321268746,0.6496382869570267,0.6824217998128304,0.31185922524831794
DH,0.041092757490601116,0.13582050531692286,0.1299575202106088,0.13739422712348953,0.07212895600449211,0.06500318869405527,0.1448326034216839,0.13582050531692286,0.20131709169370235,0.17074432154472574,0.1925897596154896,0.03077697365785702,0.17239267279208978,0.19417108625169058,0.17393703244977574,0.2121993459789323,0.2095677575920771,0.09964912732785847,0.089239590522338,0.31925353580236954,0.31925353580236954,0.32108390766341977,0.057424938877417064,0.32108390766341977,0.31925353580236954,0.31925353580236954,0.04432025227040767,0.11002302429684571,0.111514669560894,0.07212895600449211,0.06500318869405527,0.1448326034216839
