,labels_ecoli_SpectralClustering_params1,labels_ecoli_SpectralClustering_params10,labels_ecoli_SpectralClustering_params11,labels_ecoli_SpectralClustering_params12,labels_ecoli_SpectralClustering_params13,labels_ecoli_SpectralClustering_params14,labels_ecoli_SpectralClustering_params15,labels_ecoli_SpectralClustering_params16,labels_ecoli_SpectralClustering_params17,labels_ecoli_SpectralClustering_params18,labels_ecoli_SpectralClustering_params19,labels_ecoli_SpectralClustering_params2,labels_ecoli_SpectralClustering_params20,labels_ecoli_SpectralClustering_params21,labels_ecoli_SpectralClustering_params22,labels_ecoli_SpectralClustering_params23,labels_ecoli_SpectralClustering_params24,labels_ecoli_SpectralClustering_params25,labels_ecoli_SpectralClustering_params26,labels_ecoli_SpectralClustering_params27,labels_ecoli_SpectralClustering_params28,labels_ecoli_SpectralClustering_params29,labels_ecoli_SpectralClustering_params3,labels_ecoli_SpectralClustering_params30,labels_ecoli_SpectralClustering_params31,labels_ecoli_SpectralClustering_params32,labels_ecoli_SpectralClustering_params33,labels_ecoli_SpectralClustering_params34,labels_ecoli_SpectralClustering_params35,labels_ecoli_SpectralClustering_params36,labels_ecoli_SpectralClustering_params37,labels_ecoli_SpectralClustering_params38,labels_ecoli_SpectralClustering_params39,labels_ecoli_SpectralClustering_params4,labels_ecoli_SpectralClustering_params40,labels_ecoli_SpectralClustering_params41,labels_ecoli_SpectralClustering_params42,labels_ecoli_SpectralClustering_params43,labels_ecoli_SpectralClustering_params44,labels_ecoli_SpectralClustering_params45,labels_ecoli_SpectralClustering_params46,labels_ecoli_SpectralClustering_params47,labels_ecoli_SpectralClustering_params48,labels_ecoli_SpectralClustering_params49,labels_ecoli_SpectralClustering_params5,labels_ecoli_SpectralClustering_params50,labels_ecoli_SpectralClustering_params51,labels_ecoli_SpectralClustering_params52,labels_ecoli_SpectralClustering_params53,labels_ecoli_SpectralClustering_params54,labels_ecoli_SpectralClustering_params55,labels_ecoli_SpectralClustering_params56,labels_ecoli_SpectralClustering_params57,labels_ecoli_SpectralClustering_params58,labels_ecoli_SpectralClustering_params59,labels_ecoli_SpectralClustering_params6,labels_ecoli_SpectralClustering_params60,labels_ecoli_SpectralClustering_params7,labels_ecoli_SpectralClustering_params8,labels_ecoli_SpectralClustering_params9
cSIL,0.7655647812796392,0.7384469959224441,0.7842713775023319,0.7384469959224441,0.6647809480675198,0.6728758796235136,0.6843931685833484,0.6783325993670799,0.5134950441876078,0.5467412724285207,0.6966947718014797,0.7480001767290335,0.7248043061070615,0.6966947718014797,0.7248043061070615,0.6966947718014797,0.7248043061070615,0.7019894044030434,0.6987609172143214,0.7082860762744987,0.6775400620335752,0.5309434340226629,0.7489558254852221,0.5387576159753792,0.703846776056781,0.7115953072370858,0.703846776056781,0.7115953072370858,0.703846776056781,0.7115953072370858,0.6638357440077836,0.6553586431564229,0.6696812479245515,0.7428880333131319,0.6603204457576868,0.5608098229785707,0.5702649971594401,0.7053298595519043,0.6976752267805645,0.7053298595519043,0.6976752267805645,0.7053298595519043,0.6976752267805645,0.6300979049175433,0.5632010960151991,0.6270277455411429,0.6336823101867795,0.6298996589034354,0.5417391917972235,0.4945315709958319,0.6639577636217543,0.6845891662790112,0.6639577636217543,0.6845891662790112,0.6639577636217543,0.536578973340483,0.6845891662790112,0.7842713775023319,0.7384469959224441,0.7842713775023319
GD43,0.4387476764370731,0.5985421514717638,0.7571500741939213,0.5985421514717638,0.27104624542085237,0.2830102004701115,0.29016779026501066,0.2925621016271629,0.3475807299734214,0.21565225523532114,0.3772532372976759,0.4199409022847864,0.5431340957060866,0.3772532372976759,0.5431340957060866,0.3772532372976759,0.5431340957060866,0.295375472156172,0.295375472156172,0.3329047173836619,0.24650925629928835,0.1899386045921742,0.4256137551796446,0.1874870159207331,0.3772532372976759,0.44764650084669966,0.3772532372976759,0.44764650084669966,0.3772532372976759,0.44764650084669966,0.23127920970784477,0.2337998555968046,0.2700864405505754,0.429719187354724,0.26472980078292496,0.17693282101837096,0.17551540926689851,0.36863741849333775,0.394242563434066,0.36863741849333775,0.394242563434066,0.36863741849333775,0.394242563434066,0.23127920970784477,0.29916288120306794,0.22496134127072462,0.2694100811291159,0.26472980078292496,0.18756246228909765,0.2587600760525151,0.25849912072395986,0.3964220390822312,0.25849912072395986,0.3964220390822312,0.25849912072395986,0.3051425961662175,0.3964220390822312,0.7571500741939213,0.5985421514717638,0.7571500741939213
GD53,0.09583433804111206,0.13499905748363686,0.054386636809352205,0.13499905748363686,0.09740450361975127,0.10610163025837265,0.10817924196206645,0.10885582523904759,0.09164192189138433,0.05849524538809637,0.006717431790948806,0.11802918189960766,0.1335883126109875,0.006717431790948806,0.1335883126109875,0.006717431790948806,0.1335883126109875,0.08926817685394017,0.08982928535250574,0.0900750801847605,0.07440950492219285,0.051809479563387786,0.10970805616961887,0.05074632719998223,0.006717431790948806,0.11896885201726115,0.006717431790948806,0.11896885201726115,0.006717431790948806,0.11896885201726115,0.07462748430033904,0.06804468443201003,0.06696534195194571,0.10970805616961887,0.0654511977565474,0.04351160714738663,0.04353600060656767,0.006717431790948806,0.11477786921131694,0.006717431790948806,0.11477786921131694,0.006717431790948806,0.11477786921131694,0.07462748430033904,0.09103336195942724,0.07415739759239148,0.06593704064897173,0.0654511977565474,0.04623375375533919,0.06253216339463863,0.006717431790948806,0.10449610543988902,0.006717431790948806,0.10449610543988902,0.006717431790948806,0.09626439762419152,0.10449610543988902,0.054386636809352205,0.13499905748363686,0.054386636809352205
PS,-0.6418036251107285,-0.33137561001005056,-0.5465611120901446,-0.33137561001005056,0.020061171314689263,0.03403442066466833,-0.2536464509351438,-0.2913897853513667,2.1972527640420014,2.3604008715825415,-2.0139759591349553,-0.4966934134280669,-1.0046712937375568,-2.0139759591349553,-1.0046712937375568,-2.0139759591349553,-1.0046712937375568,0.4679734476262297,0.5872991543619273,0.9365740059497322,1.0748801118443094,1.5016425560419266,-0.5778525149863687,1.6091045516508875,-2.8555692842151235,-0.8317529006406075,-2.8555692842151235,-0.8317529006406075,-2.8555692842151235,-0.8317529006406075,-0.4137688874866327,-0.3709452905651469,0.004684575119095147,-0.4143599675339814,0.022192264798344408,0.9232229557466337,1.0345954473586032,-3.6134050567167866,-0.5367287614054969,-3.6134050567167866,-0.5367287614054969,-3.6134050567167866,-0.5367287614054969,-0.45430694655141174,2.138287139165808,0.11850454607926608,-0.5000581656121037,-0.3089721632924376,1.229355741175005,1.3138551572082946,-3.7418279625882893,-0.9053358854979789,-3.7418279625882893,-0.9053358854979789,-3.7418279625882893,2.7823450476344664,-0.9053358854979789,-0.5465611120901446,-0.33137561001005056,-0.5465611120901446
rCIP,3.186200183528307,1.4445282672578683,0.18155676395648437,1.4445282672578683,6.113793128550776,6.587682495860034,6.3617051240343265,6.6739353918493824,5.123026775137076,10.24354006474864,1.2386934054191905,2.84947550127984,2.8819981164675257,1.2386934054191905,2.8819981164675257,1.2386934054191905,2.8819981164675257,11.149538036317006,11.36089915136286,10.813337045387504,12.543134788143043,14.850756811412738,3.2542099877201336,14.664353244968844,2.0005246604385727,5.002308803732052,2.0005246604385727,5.002308803732052,2.0005246604385727,5.002308803732052,21.371940516035178,21.92034548265966,20.69062411147891,2.7375041654413215,22.074146922840413,23.565303525201884,25.731395188761354,3.2805894616001923,10.347047126861854,3.2805894616001923,10.347047126861854,3.2805894616001923,10.347047126861854,26.998259834172455,5.0224082681027005,27.741931462701384,26.69581833490855,27.929833718530762,30.460004257574234,27.746933055119012,6.163143836041429,15.799808287372622,6.163143836041429,15.799808287372622,6.163143836041429,4.584761926309411,15.799808287372622,0.18155676395648437,1.4445282672578683,0.18155676395648437
WB,2.615071034359058,2.5848305075590394,3.080460788931525,2.5848305075590394,2.6662394973728074,2.445851346982747,2.380995180301939,2.392439704278808,3.878048787941167,3.6241361566831394,5.73814211445059,2.3863349204903295,2.6796161730294172,5.73814211445059,2.6796161730294172,5.73814211445059,2.6796161730294172,2.591085521294891,2.5777932320771115,2.51812454015071,2.621829452749587,3.987307177768913,2.361035959591544,3.950792523501689,6.079422951713876,2.7923572217693104,6.079422951713876,2.7923572217693104,6.079422951713876,2.7923572217693104,2.7940864168457975,2.730149549516133,2.697381511561229,2.3469534221781725,2.6950795365360465,3.8898057274684334,3.9272391877389072,3.9687636765082415,2.7873829786999877,3.9687636765082415,2.7873829786999877,3.9687636765082415,2.7873829786999877,2.9058929612823023,3.9039528516324706,2.8498523505202984,2.8334272091927994,2.81375480392967,4.321018369257149,4.527090371151855,3.7270990800807158,3.065682298303968,3.7270990800807158,3.065682298303968,3.7270990800807158,3.741519117473241,3.065682298303968,3.080460788931525,2.5848305075590394,3.080460788931525
XB,0.49267921672336473,0.3912874300865564,0.2755046231167889,0.3912874300865564,1.1730704330650714,1.0100759885961412,0.941847246197135,0.9298132378423184,0.9564019210345288,1.0013629549751537,0.6394507839021389,0.5041411104095129,0.43690332704205453,0.6394507839021389,0.43690332704205453,0.6394507839021389,0.43690332704205453,0.8761161552195917,0.8727169715092756,0.6749448248349292,0.738130821275173,1.563969070747184,0.4870577672719834,1.5129422571250994,0.6129420508433913,0.6011312533691237,0.6129420508433913,0.6011312533691237,0.6129420508433913,0.6011312533691237,1.383794540543971,1.330343170813789,0.9876826678352681,0.4757472239264563,1.0273821474482094,1.183742300814025,1.2004776886385882,0.45495212194363094,0.7083326507972585,0.45495212194363094,0.7083326507972585,0.45495212194363094,0.7083326507972585,1.3151873970903216,1.08846005356307,1.369234113686227,0.9504099991160602,0.9789791629861744,1.234255154409931,1.2070913784021413,0.8208841943902743,0.6951275512313244,0.8208841943902743,0.6951275512313244,0.8208841943902743,1.1046638159619346,0.6951275512313244,0.2755046231167889,0.3912874300865564,0.2755046231167889
SSE,91.28603238304498,90.54824755709147,102.02051265960222,90.54824755709147,82.95093971507413,77.86972758629462,76.3289533758194,76.60238462635006,107.21164756812047,102.58658705001602,135.47055627767315,85.57342170485673,83.25190073707252,135.47055627767315,83.25190073707252,135.47055627767315,83.25190073707252,73.57342545520831,73.28797290667403,71.99769629255195,74.23091567218012,100.03172637785391,84.9223911913366,99.41850322634974,129.85456063877416,77.80981238986332,129.85456063877416,77.80981238986332,129.85456063877416,77.80981238986332,71.24513805811144,69.99428667716748,69.34791778403526,84.55828858588362,69.30237380336905,90.75305292043424,91.36108995367954,92.03147164804686,71.11462976191658,92.03147164804686,71.11462976191658,92.03147164804686,71.11462976191658,67.71287567094632,118.54294264645876,66.6966354783201,66.39710016533012,66.03733583213477,90.73856665264509,93.71739963608948,81.65294884114132,70.56262950159983,81.65294884114132,70.56262950159983,81.65294884114132,115.50505343696625,70.56262950159983,102.02051265960222,90.54824755709147,102.02051265960222
RS,-1.1128813683929746,-1.314475752488427,-0.9205949629008071,-1.314475752488427,-1.3658725853028528,-1.3246952771725782,-1.3141494042800532,-1.3351003360299651,-1.668281416714278,-1.6849543156951463,-1.397625520819144,-1.171741704538345,-1.4617876096824605,-1.397625520819144,-1.4617876096824605,-1.397625520819144,-1.4617876096824605,-1.445820968297152,-1.4469805304696164,-1.4399961794394045,-1.7404014399716274,-1.5800190644965548,-1.1515584593321948,-1.6345149715758134,-1.4844461307124301,-1.528646790880849,-1.4844461307124301,-1.528646790880849,-1.4844461307124301,-1.528646790880849,-1.5747114209355402,-1.5552711747718602,-1.5311664256051025,-1.208154373354607,-1.5384105724202437,-1.9952607530710198,-1.959302207168146,-1.5352013803733504,-1.612898260741719,-1.5352013803733504,-1.612898260741719,-1.5352013803733504,-1.612898260741719,-1.6939463734614832,-1.1618242507767809,-1.683546257620647,-1.638274852898144,-1.64490864650614,-1.9512610098742809,-2.0365773174026995,-1.726409722653688,-1.8521187196216025,-1.726409722653688,-1.8521187196216025,-1.726409722653688,-1.266964048310729,-1.8521187196216025,-0.9205949629008071,-1.314475752488427,-0.9205949629008071
DH,0.08055769198628866,0.07317022387802626,0.05745759668126247,0.07317022387802626,0.06867546218842865,0.06850735795555833,0.06843297133069046,0.0689467482768141,0.08300737582056114,0.08314008859663043,0.04674005704392976,0.08262362269920051,0.060861892089959325,0.04674005704392976,0.060861892089959325,0.04674005704392976,0.060861892089959325,0.05810871355149224,0.05820407315517442,0.05818760059888427,0.06191821169741737,0.06698682549716124,0.08188655432576172,0.06790436510113024,0.039016491462884946,0.05088480967724243,0.039016491462884946,0.05088480967724243,0.039016491462884946,0.05088480967724243,0.0504337100994947,0.050337303602743445,0.04980315749799458,0.08320449257975884,0.04994782172921184,0.05864839750265344,0.05877948847536028,0.03343957249858731,0.0439599310313165,0.03343957249858731,0.0439599310313165,0.03343957249858731,0.0439599310313165,0.04385239784266171,0.10088490246315872,0.04394159400285559,0.043123119867133686,0.04337964286313066,0.049374682310756805,0.050491311090896156,0.030157444948430576,0.040145184180701704,0.030157444948430576,0.040145184180701704,0.030157444948430576,0.1026870319620079,0.040145184180701704,0.05745759668126247,0.07317022387802626,0.05745759668126247
