,labels_glass_DBSCAN_params21,labels_glass_DBSCAN_params26,labels_glass_DBSCAN_params27,labels_glass_DBSCAN_params31,labels_glass_DBSCAN_params36,labels_glass_DBSCAN_params37,labels_glass_DBSCAN_params41,labels_glass_DBSCAN_params42,labels_glass_DBSCAN_params46,labels_glass_DBSCAN_params47,labels_glass_DBSCAN_params48,labels_glass_DBSCAN_params51,labels_glass_DBSCAN_params52,labels_glass_DBSCAN_params53
cSIL,0.9342905776590177,0.7941651536628163,0.8975450026242277,0.9417797105676485,0.8732423851008055,0.8707517104632686,0.9031874020844819,0.8563629069106891,0.8829133365774297,0.8948876610355231,0.9160040443120065,0.8593780076429779,0.8969397934305143,0.9501034558225633
GD43,22.653739897957276,4.052938074402475,14.66102285889848,4.763011271037927,2.5477896655510257,4.116210057399502,3.3054275258427226,1.650987768385771,1.5842438267724308,2.0608237788937402,4.193998751979335,1.2348694405462437,1.2348694405462437,3.284674891726966
GD53,0.13284177965511482,0.029254306726149433,0.44031223463594044,0.0419693344060734,0.03215580513976999,0.14820244842274236,0.029023588638751614,0.1106820194217131,0.037209047121844606,0.09338956821502274,0.47648607127933446,0.0817409345692388,0.10745165505891167,0.47278625923782164
PS,0.26108431405659915,-3.1059636357229885,1.3479841068379161,-2.7948553677850585,-6.045651155995999,0.31025259278917783,-2.6682272333776353,-2.9058527401346264,-2.360690840403473,-1.2065014994045926,1.0433687222225316,-0.8058207602650105,-0.246469459549291,1.0433687222225316
rCIP,25.287616659761337,162.649882678714,7.839297689778198,15.862711161384135,27.48022399370899,5.230378599048212,6.717901209597628,8.84137876994803,3.861488490736259,1.002626391198341,0.3395126058970271,0.8853931225081908,0.6722035127493806,1.034227903442847e-06
WB,0.04375395715916467,0.932305425065996,1.264591337902848,0.6484000961743809,1.0641235540840832,2.180901409539454,0.8951852159696916,0.7528738622393815,2.53427254769196,1.4983598763167172,3.6561320789267153,2.8013832767617237,2.3213018574122084,2.2478965652687832
XB,0.10762996791520006,0.7757832362765189,0.1268494397587733,0.24632759047207248,0.5523300353265458,0.2743761991735554,0.1726585752584079,0.6710167100386234,0.39978329561040354,0.29977892905091685,0.12538175853658148,0.5013761479875478,0.5068246889824134,0.07708835957711876
SSE,0.023780982675882332,0.39596325584821745,0.12799025843278783,2.191913288771479,4.75615426469637,3.5253529461817923,8.61088325361798,7.606706494603831,25.73275023663358,20.170024411308653,11.118167806385658,46.20209550193121,45.67771610462866,43.538265259529254
RS,0.9612808557565105,0.4753028313930671,0.3092849743280492,0.7763939762096715,0.5372139165501243,0.26395202279334523,0.4555769143170136,0.5341866053622378,0.3483490124147485,0.4837909108091783,0.07403577775724918,0.12227404548209994,0.2496861073065017,0.2919291978377823
DH,0.024551032509775007,0.026057513409969053,0.39120459638073163,0.01580351627804994,0.014138306514782149,0.1421891517592275,0.028625594787895378,0.032478400232589806,0.03628735127172721,0.06091831346963046,0.3499107350114213,0.07116893727386489,0.09535669291783533,0.26394183533032317
B,0.010094922599477025,0.06825848241767053,0.23833309686635504,0.030757179210570397,0.043725305973640126,0.10598951496004987,0.05209497768102716,0.03367356245893005,0.11848070048206458,0.06890573933240939,0.14805706291961085,0.12670581293564204,0.10115326955024835,0.0904608613805502
BH,0.005945245668970582,0.049495406981027175,0.06399512921639391,0.31313046982449705,0.475615426469637,1.175117648727264,1.2301261790882827,1.2677844157673053,4.288791706105598,5.042506102827162,5.559083903192829,9.240419100386243,11.419429026157166,21.76913262976463
D,1.0755849316500987,0.34709694404064584,0.9200101694337759,0.5611873991051055,0.3062494374648057,0.5488640141370663,0.3749539483863973,0.28781469870837406,0.41627352893557107,0.47145345338780986,0.7147263614154274,0.3791519830938021,0.3791519830938021,1.077687940639035
H,0.2603339857568094,1.2300507118698665,0.20181468436486721,0.36102566993614615,1.118211906026413,0.3601466364888642,0.6193404588239174,0.840682597639932,0.5904826048918708,0.38931788115721544,0.1621085211997756,0.6444432593522496,0.40034090248864607,0.09654547365670302
DBCV,0.6428571428485965,0.4285714285636571,0.06338629114736492,0.25575206962790414,0.5159000559243975,0.72442212172696,0.5500315272946658,0.530190911062204,0.3548855599345871,0.5476913810117904,0.25287852861464244,0.720977882400327,0.8575843211819016,0.92467373646729
I,5.174247474582049,0.12595035116932035,0.0343701542199694,0.7127100514713554,0.38565238799355134,0.20121160671653343,0.7048680646878157,0.9382356833645755,0.423493679190996,0.941178831095284,0.3064069917189955,0.40002776484891167,0.5984776379098233,1.407320764059497
C,1.297393597434488e-17,0.03543452038700611,0.013807780308011929,0.010172940972430489,0.018771026534750598,0.04204387970200742,0.015917552306521022,0.017848145047292693,0.0862391462996482,0.04616430979509255,0.06908850888403356,0.030940909416339864,0.01715568921647043,0.0023965068053622535
VIASCKDE,0.355153396053938,0.2598457130552978,0.3436917563591339,0.33222793738243017,0.28826988314220964,0.31429984528409505,0.2448549857969035,0.2438306031109798,0.21499955086185857,0.2178718005390268,0.23416491070333853,0.1816278635492959,0.18360468642775596,0.18100348843578762
COP,0.40797836475714716,0.36220138381219374,0.4329723264500436,0.412794305696611,0.35343207208801125,0.35172628475658624,0.3507807606126307,0.3551668320109782,0.2874153802641906,0.28367946640976677,0.30852017768545,0.31923444167840564,0.31328025686811906,0.2901741123356729
Sym,11.698096376819835,0.4206079221448689,1.01254998373436,0.25072196255626883,0.07621690804019433,0.15223876657990723,0.05807920905608395,0.07940543222721327,0.02243600350244636,0.041281731986398534,0.049901974597858924,0.013024332958352033,0.016454308420516692,0.033445149332824345
CS,0.20218258777434503,0.5237461567760553,0.6585392545682008,0.2584378100125758,0.5908156318542069,0.7438755203562932,0.6157892170894218,0.7820999559534032,0.7220063410187653,0.7587697990101063,0.7209417193541261,0.8478080758830946,0.7326125440071628,0.5283578425301086
SF,0.5934210963524926,0.45717745105077445,0.5779016060075175,0.4246587013087313,0.2584028165876131,0.4815413977388142,0.26048025127334795,0.2940999549172355,0.27336240771619913,0.35487588258092717,0.4687997660582681,0.20723894689188993,0.26666164644050894,0.41297535352852266
SD,294.4724663630424,1641.8704719067737,977.1621533813651,588.2449312772635,621.8473665469484,2435.588844080624,734.3160233756124,766.442247634661,1359.8754317596195,1461.4084165997888,3336.110069457063,1376.0695887106947,1486.7715555955565,4263.107284464651
SDbw,0.34183217476313166,0.5899677803597845,1.5884585507178763,0.045356555557608334,0.09155265774846376,0.36206256100983386,0.1318681595258104,0.15367464805972042,0.16895984485269447,0.23314864559214782,0.6114259255328318,0.21428187289118084,0.24624452674751085,0.36891303161764427
XB*,0.17568950511967169,1.2087620827538625,0.14404487291121396,0.31079966426753847,0.7109139207559577,0.3012020591589051,0.24887396970065906,0.9975784122057065,0.48339891800231116,0.34494189241659623,0.13156917493930045,0.5690306413439373,0.5690306413439373,0.08152559224266885
S,0.6385094545679768,0.344859767073162,0.5227242984296682,0.42928591575139957,0.35615772344573543,0.4169307275770241,0.4796848972316865,0.4881569194834398,0.284459986281426,0.4576382944982988,0.5256345811029158,0.3960887262612324,0.6065310807461934,0.6619054450531087
DB,0.46350188353101984,0.8312791715386131,0.6484354567061835,0.443467265186483,0.6666115505309635,0.6826361806345886,0.6180409669995763,0.7586053330902742,0.6764675010182871,0.5989084279775845,0.5364039149521357,0.6890268392805424,0.590291331988433,0.4013438414477626
CH,304.7343417380602,50.25943386935235,25.30461742136209,127.75034091151046,107.5480793609061,52.271964015133385,166.81836414330297,186.48542211624667,68.65875580685557,117.46176788492554,57.984776103119934,78.97883943098115,99.94391692713073,142.35530448516755
AD-S,0.7025394213844993,0.44717620897579147,0.6019470617879354,0.4410461691597873,0.557079142789941,0.6971646491499874,0.4995079693639251,0.47241797563638444,0.2430551919432147,0.4481902547752829,0.3748759430505718,0.5549326405164551,0.6606130777152033,0.7628988967153545
AD-DB,0.5772700173625271,1.0626946972098874,0.7998294657926459,0.5334903692808495,0.8159512433334817,0.5808207681596357,0.9033863134525585,1.0892702965705692,1.0206450331554757,0.8196625844863009,1.2026207504321416,0.8456727162197243,0.795633258783942,0.43339852860804823
AD-CH,23.214841406304892,13.407248395821643,21.469173352409662,31.38899789342363,32.45089335542039,51.43327091926991,54.67997336666522,59.64049010930812,45.690203105108395,76.58879673677998,13.217947787234875,69.56674268710805,90.05175599558484,198.43611588911895
AD-idea,89.92353573758068,42.56793329145879,3.410463179918147,4395.2241960377205,391.24227838767627,8.279696540041428,762.1941299191684,12.478474705084349,111.77496688129494,50.418541358880276,2.6419273082332304,35.80641400440195,17.19806996174391,21.5587077776073
