,labels_ionosphere_KMeans_params1,labels_ionosphere_KMeans_params10,labels_ionosphere_KMeans_params11,labels_ionosphere_KMeans_params12,labels_ionosphere_KMeans_params13,labels_ionosphere_KMeans_params14,labels_ionosphere_KMeans_params15,labels_ionosphere_KMeans_params16,labels_ionosphere_KMeans_params17,labels_ionosphere_KMeans_params18,labels_ionosphere_KMeans_params19,labels_ionosphere_KMeans_params2,labels_ionosphere_KMeans_params20,labels_ionosphere_KMeans_params21,labels_ionosphere_KMeans_params22,labels_ionosphere_KMeans_params23,labels_ionosphere_KMeans_params24,labels_ionosphere_KMeans_params25,labels_ionosphere_KMeans_params26,labels_ionosphere_KMeans_params27,labels_ionosphere_KMeans_params28,labels_ionosphere_KMeans_params29,labels_ionosphere_KMeans_params3,labels_ionosphere_KMeans_params30,labels_ionosphere_KMeans_params31,labels_ionosphere_KMeans_params32,labels_ionosphere_KMeans_params33,labels_ionosphere_KMeans_params34,labels_ionosphere_KMeans_params35,labels_ionosphere_KMeans_params36,labels_ionosphere_KMeans_params37,labels_ionosphere_KMeans_params38,labels_ionosphere_KMeans_params39,labels_ionosphere_KMeans_params4,labels_ionosphere_KMeans_params40,labels_ionosphere_KMeans_params41,labels_ionosphere_KMeans_params42,labels_ionosphere_KMeans_params43,labels_ionosphere_KMeans_params44,labels_ionosphere_KMeans_params45,labels_ionosphere_KMeans_params46,labels_ionosphere_KMeans_params47,labels_ionosphere_KMeans_params48,labels_ionosphere_KMeans_params49,labels_ionosphere_KMeans_params5,labels_ionosphere_KMeans_params50,labels_ionosphere_KMeans_params51,labels_ionosphere_KMeans_params52,labels_ionosphere_KMeans_params53,labels_ionosphere_KMeans_params54,labels_ionosphere_KMeans_params6,labels_ionosphere_KMeans_params7,labels_ionosphere_KMeans_params8,labels_ionosphere_KMeans_params9
cSIL,0.49331670112186937,0.49331670112186937,0.49331670112186937,0.49331670112186937,0.49331670112186937,0.49331670112186937,0.49331670112186937,0.49331670112186937,0.49331670112186937,0.49331670112186937,0.5215329262132353,0.49331670112186937,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.49331670112186937,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5215329262132353,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.49331670112186937,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.49331670112186937,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.5700496153906771,0.49331670112186937,0.49331670112186937,0.49331670112186937,0.49331670112186937
GD43,0.13954007795094867,0.13954007795094867,0.13954007795094867,0.13954007795094867,0.13954007795094867,0.13954007795094867,0.13954007795094867,0.13954007795094867,0.13954007795094867,0.13954007795094867,0.11985064042053134,0.13954007795094867,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.13954007795094867,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.11985064042053134,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.13954007795094867,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.13954007795094867,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.12410279717770499,0.13954007795094867,0.13954007795094867,0.13954007795094867,0.13954007795094867
GD53,0.3244579677638995,0.3244579677638995,0.3244579677638995,0.3244579677638995,0.3244579677638995,0.3244579677638995,0.3244579677638995,0.3244579677638995,0.3244579677638995,0.3244579677638995,0.1897151985490807,0.3244579677638995,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.3244579677638995,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.1897151985490807,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.3244579677638995,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.3244579677638995,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.16262115173796532,0.3244579677638995,0.3244579677638995,0.3244579677638995,0.3244579677638995
PS,1.8054739853804262,1.8054739853804262,1.8054739853804262,1.8054739853804262,1.8054739853804262,1.8054739853804262,1.8054739853804262,1.8054739853804262,1.8054739853804262,1.8054739853804262,1.4928494409004462,1.8054739853804262,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.8054739853804262,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.4928494409004462,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.8054739853804262,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.8054739853804262,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.3729612183655495,1.8054739853804262,1.8054739853804262,1.8054739853804262,1.8054739853804262
rCIP,3.9068101600038244e-17,3.9068101600038244e-17,3.9068101600038244e-17,3.9068101600038244e-17,3.9068101600038244e-17,3.9068101600038244e-17,3.9068101600038244e-17,3.9068101600038244e-17,3.9068101600038244e-17,3.9068101600038244e-17,1.0016189336907925e-16,3.9068101600038244e-17,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,3.9068101600038244e-17,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,1.0016189336907925e-16,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,3.9068101600038244e-17,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,3.9068101600038244e-17,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,5.999877731098268e-16,3.9068101600038244e-17,3.9068101600038244e-17,3.9068101600038244e-17,3.9068101600038244e-17
WB,6.074023375629335,6.074023375629335,6.074023375629335,6.074023375629335,6.074023375629335,6.074023375629335,6.074023375629335,6.074023375629335,6.074023375629335,6.074023375629335,6.479178245853648,6.074023375629335,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.074023375629335,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.479178245853648,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.074023375629335,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.074023375629335,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.6922624224753715,6.074023375629335,6.074023375629335,6.074023375629335,6.074023375629335
XB,0.7536747372209461,0.7536747372209461,0.7536747372209461,0.7536747372209461,0.7536747372209461,0.7536747372209461,0.7536747372209461,0.7536747372209461,0.7536747372209461,0.7536747372209461,0.9308712113070046,0.7536747372209461,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.7536747372209461,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.9308712113070046,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7536747372209461,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7536747372209461,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7664213424027446,0.7536747372209461,0.7536747372209461,0.7536747372209461,0.7536747372209461
SSE,2510.7475696401953,2510.7475696401953,2510.7475696401953,2510.7475696401953,2510.7475696401953,2510.7475696401953,2510.7475696401953,2510.7475696401953,2510.7475696401953,2510.7475696401953,2281.21297173218,2510.7475696401953,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2510.7475696401953,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2281.21297173218,2088.9110526211016,2088.9110526211016,2088.9110526211016,2510.7475696401953,2088.9110526211016,2088.9110526211016,2088.9110526211016,2088.9110526211016,2088.9110526211016,2088.9110526211016,2088.9110526211016,2088.9110526211016,2088.9110526211016,2088.9110526211016,2510.7475696401953,2088.9110526211016,2088.9110526211016,2088.9110526211016,2088.9110526211016,2088.9110526211016,2510.7475696401953,2510.7475696401953,2510.7475696401953,2510.7475696401953
RS,-0.5688493820453633,-0.5688493820453633,-0.5688493820453633,-0.5688493820453633,-0.5688493820453633,-0.5688493820453633,-0.5688493820453633,-0.5688493820453633,-0.5688493820453633,-0.5688493820453633,-1.1620286774211395,-0.5688493820453633,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-0.5688493820453633,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.1620286774211395,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-0.5688493820453633,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-0.5688493820453633,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-1.6109875787718042,-0.5688493820453633,-0.5688493820453633,-0.5688493820453633,-0.5688493820453633
DH,0.7199116137340839,0.7199116137340839,0.7199116137340839,0.7199116137340839,0.7199116137340839,0.7199116137340839,0.7199116137340839,0.7199116137340839,0.7199116137340839,0.7199116137340839,0.3398552399866972,0.7199116137340839,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.7199116137340839,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.3398552399866972,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.7199116137340839,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.7199116137340839,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.21761236455394586,0.7199116137340839,0.7199116137340839,0.7199116137340839,0.7199116137340839
