,labels_smile_MeanShift_params1,labels_smile_MeanShift_params10,labels_smile_MeanShift_params11,labels_smile_MeanShift_params12,labels_smile_MeanShift_params13,labels_smile_MeanShift_params14,labels_smile_MeanShift_params15,labels_smile_MeanShift_params16,labels_smile_MeanShift_params17,labels_smile_MeanShift_params18,labels_smile_MeanShift_params19,labels_smile_MeanShift_params2,labels_smile_MeanShift_params20,labels_smile_MeanShift_params21,labels_smile_MeanShift_params22,labels_smile_MeanShift_params23,labels_smile_MeanShift_params24,labels_smile_MeanShift_params25,labels_smile_MeanShift_params26,labels_smile_MeanShift_params27,labels_smile_MeanShift_params28,labels_smile_MeanShift_params29,labels_smile_MeanShift_params3,labels_smile_MeanShift_params30,labels_smile_MeanShift_params31,labels_smile_MeanShift_params32,labels_smile_MeanShift_params4,labels_smile_MeanShift_params5,labels_smile_MeanShift_params6,labels_smile_MeanShift_params7,labels_smile_MeanShift_params8,labels_smile_MeanShift_params9
cSIL,0.9292724301370541,0.8644930187259954,0.8372150326905875,0.8565847696934239,0.9125824518823055,0.9025637595988737,0.8608056437073099,0.8644930187259954,0.6373399999986642,0.8413845373201886,0.8573405253358708,0.9208594896355354,0.8314871271795726,0.8515065620984662,0.8345579762333235,0.8293859910574066,0.8293859910574066,0.8330036245444961,0.7595629405978318,0.8293859910574066,0.8293859910574066,0.8293859910574066,0.9281758050768651,0.8293859910574066,0.8280861904986825,0.8280861904986825,0.9296970253338641,0.8840593656939477,0.8970318940579289,0.9125824518823055,0.9025637595988737,0.8608056437073099
GD43,4.8975975192673165,1.4843952370055242,2.2512722620175234,2.2512722620175234,4.018610285251006,3.583826218600658,1.6707893949861186,1.4843952370055242,0.9395623481605198,1.860959907914666,2.195367803375949,7.090485016598375,2.0035074338617256,2.1427648718322505,1.9555823705125013,1.5480233246887531,1.5480233246887531,2.237654198953053,2.2004270496353726,1.5480233246887531,1.5480233246887531,1.5480233246887531,8.69577901509165,1.5480233246887531,1.5482055414822702,1.5482055414822702,12.260611182268393,2.527789271395034,2.290069662342841,4.018610285251006,3.583826218600658,1.6707893949861186
GD53,0.01106514319537107,0.029215131463736846,0.11206967534475933,0.09407610927429337,0.010650022128205447,0.010170370763887165,0.04469538060597134,0.029215131463736846,0.1915579235216658,0.27671141428218954,0.09790523921535305,0.015354354003024675,0.06040471519094071,0.09164760964416716,0.057074636467782075,0.3436624468115767,0.3436624468115767,0.10890042673335676,0.17912248282168944,0.3436624468115767,0.3436624468115767,0.3436624468115767,0.02293614211762368,0.3436624468115767,0.34037166903726684,0.34037166903726684,0.02293614211762368,0.04527999915348069,0.027786300738348913,0.010650022128205447,0.010170370763887165,0.04469538060597134
PS,-18.249840539861026,-6.471444362649124,-2.5109292987247387,-3.317788333325086,-9.73454961098636,-11.904661087664001,-4.261586012385143,-6.471444362649124,1.3615956579528137,1.6077470930483755,-3.3157027638674004,-16.99627362453476,-3.441712275078466,-3.31405321410764,-3.412661750318495,1.9593767062544676,1.9593767062544676,-2.565268659012201,-1.5365213664624788,1.9593767062544676,1.9593767062544676,1.9593767062544676,-18.909535045047942,1.9593767062544676,1.8395413301024566,1.8395413301024566,-16.58662230953423,-5.0823906278647755,-9.444336010459201,-9.73454961098636,-11.904661087664001,-4.261586012385143
rCIP,58.31730766223488,1.8970962386119286,0.28667467614484754,0.5287043324224678,8.827806871533435,16.791922452966,0.6184280603805339,1.8970962386119286,0.07491681698239619,0.05586846780643121,0.44565017346073993,46.68652692267302,0.4941540805185266,0.4391094776501669,0.4395863625486897,0.009197735245188441,0.009197735245188441,0.4305686664618613,0.06570527229588113,0.009197735245188441,0.009197735245188441,0.009197735245188441,57.58255509102362,0.009197735245188441,0.009129606433569871,0.009129606433569871,45.301950867155924,0.4891502427273128,3.833428869094189,8.827806871533435,16.791922452966,0.6184280603805339
WB,0.27478422628830307,1.7641033222247686,1.3618980482459013,1.4402853039786812,0.47660153820046763,0.5253594247743112,1.5452659256751708,1.7641033222247686,1.7574275425007597,1.1725455854140479,1.446999302534603,0.22574990652236515,1.4409722829871376,1.4344570202966962,1.4400658324858053,1.5694023993612318,1.5694023993612318,1.3533917530858206,1.1297616460760436,1.5694023993612318,1.5694023993612318,1.5694023993612318,0.20374802122882835,1.5694023993612318,1.554281908485378,1.554281908485378,0.20184301671353577,0.8527182943759358,1.057975355502264,0.47660153820046763,0.5253594247743112,1.5452659256751708
XB,0.19664853981526778,0.5652316040392978,0.3122665153957689,0.29612896536802524,0.21899888765149872,0.2491751728313112,0.46591352185311297,0.5652316040392978,0.4954267877542769,0.21243376122064214,0.30444878713574514,0.14867694724366276,0.3642376552367515,0.30415906353192074,0.3664029779481046,0.19617451521895427,0.19617451521895427,0.3063183127698115,0.34689845920124324,0.19617451521895427,0.19617451521895427,0.19617451521895427,0.18604013581070397,0.19617451521895427,0.19343893206150203,0.19343893206150203,0.09928944279775775,0.3401412256102897,0.3874191596721304,0.21899888765149872,0.2491751728313112,0.46591352185311297
SSE,5.5529052868159825,73.23250000294296,83.12055926802454,78.8249908436556,14.738765637128283,14.624920816258093,76.47633273319971,73.23250000294296,211.0731601485375,160.5670440512977,79.1415446841492,4.569933248175201,78.85739945577414,78.54986667915969,78.81463625646084,251.22714762249785,251.22714762249785,82.6765161230855,90.53981070272542,251.22714762249785,251.22714762249785,251.22714762249785,3.8544314624483595,251.22714762249785,249.8651502480115,249.8651502480115,4.089441539754933,37.90865345531304,35.43854112102472,14.738765637128283,14.624920816258093,76.47633273319971
RS,0.7728095932826521,0.2560094619096483,0.18612486840271183,0.20311121860889766,0.6396647469085687,0.6180701699336829,0.22360449800999282,0.2560094619096483,-0.07605900984008987,0.1591730073239098,0.21667847461727907,0.7603297675685559,0.14647764849954711,0.1940485156263276,0.15018996346241723,0.11983729144690478,0.11983729144690478,0.16874087018359601,0.11667404008579534,0.11983729144690478,0.11983729144690478,0.11983729144690478,0.7845848583227208,0.11983729144690478,0.10000795894590982,0.10000795894590982,0.774320039321269,0.3631576685477841,0.45599677991290616,0.6396647469085687,0.6180701699336829,0.22360449800999282
DH,0.06534997643325376,0.1565855079835816,0.2123826264720637,0.1947976254918582,0.09637207709058013,0.0924713723993556,0.17984749243016887,0.1565855079835816,0.43636493722590847,0.3786927899365646,0.19131975974151105,0.06727342968001179,0.2022312076832937,0.19753862947236978,0.2016777963707271,0.4660442136747387,0.4660442136747387,0.21561667586114772,0.26282104814385987,0.4660442136747387,0.4660442136747387,0.4660442136747387,0.06237723758101672,0.4660442136747387,0.47280859970120476,0.47280859970120476,0.0662939966873113,0.15794271553933542,0.11642100276500918,0.09637207709058013,0.0924713723993556,0.17984749243016887
