,labels_wdbc_MeanShift_params1,labels_wdbc_MeanShift_params10,labels_wdbc_MeanShift_params11,labels_wdbc_MeanShift_params12,labels_wdbc_MeanShift_params13,labels_wdbc_MeanShift_params14,labels_wdbc_MeanShift_params15,labels_wdbc_MeanShift_params16,labels_wdbc_MeanShift_params18,labels_wdbc_MeanShift_params3,labels_wdbc_MeanShift_params4,labels_wdbc_MeanShift_params5,labels_wdbc_MeanShift_params6,labels_wdbc_MeanShift_params7,labels_wdbc_MeanShift_params8,labels_wdbc_MeanShift_params9
cSIL,0.8391695484644103,0.7627155268745491,0.7856250112941282,0.7735610218824743,0.7526330858319924,0.8453034582388133,0.7804960411612967,0.7627155268745491,0.6446094705201254,0.8462333575508003,0.778559349737194,0.8373328858304075,0.8533030136309359,0.7629919815083939,0.8373328858304075,0.8533030136309359
GD43,0.4142065819373688,0.29388464916102075,0.394030071755784,0.29195875144165584,0.3841945409934581,0.36759973528758516,0.26414586107550575,0.29388464916102075,0.30884667054983805,0.4106929113202896,0.2950013602998483,0.39997553813112424,0.4677158978317778,0.2787981000005131,0.39997553813112424,0.4677158978317778
GD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2274398744743847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS,-28.1759652756612,-7.8106431668039775,-12.569574737025022,-14.78026519141164,-5.425655441991455,-24.718235851736335,-9.607688502240002,-7.8106431668039775,-3.048592525909684,-55.21799273448795,-16.323397270514786,-28.201168432116663,-22.0309890821587,-10.972485259626476,-28.201168432116663,-22.0309890821587
rCIP,8.483465197288963e-10,4.5263292990843e-11,1.5739151161359794e-10,2.2440798021613493e-10,2.5239599017225674e-11,7.106059395903217e-10,7.032204977903846e-11,4.5263292990843e-11,1.7668510068676704e-11,4.305660961071582e-09,2.6067826393783826e-10,8.480063360606947e-10,5.139375778625497e-10,1.0452444168790637e-10,8.480063360606947e-10,5.139375778625497e-10
WB,21.813712800678356,20.118912274817202,17.390518429474483,18.291112348896345,19.370810977196406,20.401817635781555,21.11324904111433,20.118912274817202,21.254066945554097,27.13602572320964,18.411050296349966,21.88923187409624,20.16818453714258,22.36981398715461,21.88923187409624,20.16818453714258
XB,1.1496738422010488,1.666432333921701,0.8737887067048279,1.9829437370096563,0.9346198518816685,1.1619935422553436,1.746146507835126,1.666432333921701,1.3398321551029346,1.2632987494869696,1.865687870820715,1.2187781931481574,0.7627748754929015,1.9923578568871934,1.2187781931481574,0.7627748754929015
SSE,462.8737524349251,812.1981768749328,610.4240991319726,585.4935287400899,875.4283904847432,471.0708202020765,765.2965345797096,812.1981768749328,1030.040646587395,359.09493532304344,562.4135005335072,463.9518198545502,500.1623250782367,748.5216822670077,463.9518198545502,500.1623250782367
RS,-4.592425744230466,-3.5801194669139544,-4.6428182097881985,-4.6860648689920295,-3.6690878674534955,-4.218182187735028,-3.9343610332847767,-3.5801194669139544,-3.688275680247206,-5.605420694782215,-4.781799910022744,-4.5879748333328285,-3.830668442322738,-4.552619596266293,-4.5879748333328285,-3.830668442322738
DH,0.003202566297465704,0.015788767513219573,0.009666190062205942,0.007995944689529562,0.023939040340913452,0.00359155170661752,0.012400607548886769,0.015788767513219573,0.05625421951182689,0.0014880287704460541,0.007202766945229079,0.00319942781863837,0.0038203920807127097,0.011730656393871686,0.00319942781863837,0.0038203920807127097
B,0.10978902204788342,0.13251284952753742,0.11819017715031739,0.1210098811656217,0.13967296515011368,0.11326508878661479,0.1340725343858266,0.13251284952753742,0.1772816335668316,0.11164416465864788,0.1191503636950679,0.1100078725645243,0.11187183348288164,0.13846587008805122,0.1100078725645243,0.11187183348288164
