,ecoli,glass,ionosphere,sonar,wdbc,wine
cSIL,-0.4739168466024169,-0.5821526990748642,-0.6022935654369856,-0.5335316484956932,-0.7867438881196632,-0.8029164470728838
GD43,0.5194724998533963,-0.6048636562933147,-0.7135857667479716,-0.5079834581633498,-0.5256837073118091,-0.29830704018345533
GD53,0.5789605722513466,0.4110971440663836,-0.07875984690390904,-0.006516087220024826,0.1602578222094832,0.3439467372614313
PS,0.5493571342138769,-0.19894620360869322,0.5358225211436108,0.34275273475077844,0.3482214125826413,0.76123274128464
rCIP,0.1247164394140626,0.2704809581052906,0.7290976596173346,0.9389976197630018,0.46974100941664176,0.5717185051097173
WB,-0.905330296487226,-0.9441685608075994,-0.8888720596761353,-0.33429233947977927,-0.8412674800505787,-0.9000433079216201
XB,-0.8171806090787073,0.2906763176440249,0.35868490690749893,0.326002687937769,0.34359077832946316,0.4680732432340255
SSE,-0.8800751318112844,-0.9050089356649786,-0.9648402700341813,-0.7366426912724171,-0.917637710278022,-0.9717603411419224
RS,-0.6309806749737962,-0.7190104842839132,-0.37688434018960904,-0.5449991208870593,-0.11940582491020095,-0.7888442142832566
DH,0.6673158248046142,0.6232396617596302,0.642792359648651,0.4285374959226307,0.8113291280084702,0.8553741827238212
B,-0.5486749462745852,-0.06607526539474536,0.713995268184676,0.13436913131459874,0.7661519287536951,0.5920057301585296
BH,-0.7825503411716795,-0.7679027344422998,-0.5886932872037842,-0.4274395166171547,-0.5445402423406186,-0.6616240819530854
D,-0.2272450431043862,-0.6924326554095247,-0.9211309007488248,-0.40854244867098227,-0.7014883816548616,-0.7919568704169856
H,0.41590314384406485,0.6505100840633248,0.6169484169235482,0.5859043138575789,0.6453884694630425,0.73356180649331
DBCV,-0.8438045445944199,-0.8887948949732137,-0.8360581134949288,-0.3992540486230096,-0.8022697735007697,-0.8616413009147782
I,0.6994422231224923,-0.06659657981181132,-0.6736043081652432,-0.3567872004607927,-0.66325721901309,-0.32665011067948013
C,0.1702737578363101,-0.17070108928401861,0.4331614785065722,0.3049625126035905,0.2630953865614823,-0.9027893749258966
VIASCKDE,0.2508722638656956,-0.666011716989989,0.9442716248765142,0.9371699549609709,0.9213193182424807,-0.5625411402503656
COP,-0.8645178308980705,-0.6071093430305732,-0.8927416438063833,-0.3964949803626987,-0.4191184074126774,-0.31180745190099435
Sym,0.8655503482740362,0.673730274284641,-0.6805793278582343,-0.4041320722617419,-0.6254803804912208,0.07432378323687121
CS,0.5528202304261696,0.5723244248848199,0.662050722726891,0.3653790533055447,0.8311472592382168,0.8712147904703232
SF,-0.8497283943923835,-0.8982134110502672,-0.6029404678840892,-0.29609653184660834,-0.3270584878616695,-0.8324616817043948
SD,0.7443231481295308,0.5828333151558597,0.19599278085860766,0.34772076559107157,-0.0741180950581308,0.7643408588527366
SDbw,0.6629967342166996,0.8902822697096252,0.27078630096217343,0.9999999999999999,0.6297002049658411,0.5100514265828161
XB*,-0.12473116023917717,0.38440852835055667,0.4126949448111646,0.4962718638906851,0.34286632124815936,0.5891170026543948
S,0.4860227905607333,0.17532819545478462,-0.6245748532537544,-0.5583000385053811,-0.7620069513236593,0.615369024875122
DB,0.5025591306583642,0.700574926077886,0.5605615590237122,0.3186879305601727,0.7982762464444507,0.8600076030770599
CH,0.8300411065939849,0.7987822918909169,0.8419579102088396,0.47037623887856184,0.9169558542256945,0.9120386223756414
AD-S,-0.8363023179277344,-0.7318878625282025,-0.8686560074721965,-0.4788432176539594,-0.9028970136068598,-0.9029880514474161
AD-DB,0.7082395746072575,0.6857687925008332,0.9175370520266378,0.40825094916744664,0.882805375057265,0.9299450541259849
AD-CH,0.8739287046690594,0.8252103384321745,0.7433180719896595,0.16565323901020312,0.8463126337966932,0.6004036803184527
AD-idea,-0.03423935016359219,-0.39912148059852975,-0.2669386504302635,0.14147175146944252,-0.6574414309262823,0.5911813854758139
