,ecoli,glass,ionosphere,sonar,wdbc,wine
cSIL,-0.049569336769257746,-0.28874996456432195,0.5814493478669576,-0.22747903689102122,-0.2416957164984442,0.35884194861499386
GD43,0.71547283428283,-0.1322897680523871,0.7118939882477202,-0.1763326561216434,0.2645706888359628,0.4940358203909926
GD53,0.01975145269193784,-0.14268226208092583,-0.3361636308665652,-0.7188327397562398,-0.006239283439494048,0.4664994219174507
PS,0.5250523775327205,0.4295330001754973,0.09019146732965636,0.33085175082985224,-0.04553048363730763,0.6146815786675829
rCIP,0.17622202104457235,-0.4918563963818426,-0.10658597929049617,0.2552694507176345,0.2671759727978625,-0.5865039005198904
WB,-0.9658497154562965,-0.5634130318107788,-0.45009823530571036,-0.9327402655911085,-0.7711227557761734,-0.7692941811615522
XB,-0.0856943349955531,-0.3812530045837151,-0.14549708075038725,0.760982534762956,0.060829851764563,-0.8175217921467249
SSE,-0.9962051987903611,0.15746940354005481,-0.687866038897661,-0.9217620922266939,-0.7883511537834922,-0.21252894716374454
RS,0.9686126161480135,-0.047523111431727556,0.5836781796801762,-0.3865594418135008,-0.15330097302185108,0.6027823016187169
DH,0.2123567667942684,0.5012138425631697,-0.5473351616349237,-0.5210501581163103,0.33568057235912563,0.5139208243972672
B,0.5130122287677372,0.3675619202283719,-0.6677302062655431,-0.31880721670468143,-0.08819946773644351,0.20527899337089092
BH,-0.9741661701209969,0.030662070711075618,-0.6620597144047856,-0.9083535726317944,-0.7878740439717339,-0.16926710418968205
D,-0.6653919806592101,-0.2934335846502197,-0.06763260830407769,-0.6372728702677414,0.2713804977562729,0.12334508535683175
H,0.08965265013689871,-0.4090407821130271,-0.1309624946508453,0.43066673959812735,0.26604754214777543,-0.5935742868204034
DBCV,-0.4001002848268187,0.007657220163375945,0.1400246630997063,0.1345288682943781,-0.26782829179652695,-0.023090191532331293
I,-0.2325119441060272,0.26594201276073287,0.5578504632608353,-0.8166251321996489,-0.5643273676680024,0.8346518547222737
C,0.644195906403632,-0.18584365130247574,-0.7156009516911391,-0.7210737050515409,-0.8038917626678208,-0.5546830324396012
VIASCKDE,0.8952581661186871,-0.02842243193710575,0.21446964587827494,-0.9539465121960198,0.8579277435287129,-0.45206783972270226
COP,-0.8526030273102834,0.24075260361432102,-0.15048838566343326,-0.9162599801046002,0.0458913988156699,-0.428210537227769
Sym,0.8222058577583644,0.0646921265186514,0.744818299999008,0.6383412049870989,0.411371012385234,0.3502221471999214
CS,0.2630436660003753,0.6375093805743133,-0.6114727125630087,-0.080777668383926,0.11722187600937183,0.08838091711106456
SF,0.8483743515719026,-0.020919452040341756,0.4830543351974249,-0.10287124194722375,0.16056090009930266,0.6815137887585756
SD,-0.9263196316088467,-0.23894899027841865,-0.6027635718601074,-0.6116554589825165,-0.5571452736272766,0.026479200369391172
SDbw,-0.7678547984547304,-0.047679930465054726,-0.7302785739738232,,-0.20175745994717376,-0.010565542509366444
XB*,0.012456586401152114,-0.43425389394465486,-0.10829390156038496,0.6398522087964695,0.08426990987032168,-0.7854983843192667
S,0.09705970922239505,0.12502316802226948,0.6335981374905577,0.15516769262037064,-0.01879535107045663,0.848761720230008
DB,0.01708247778362195,0.3947712881745176,-0.7034922405108318,0.17646046515314345,0.2674554924981716,-0.14227543389444527
CH,0.942567032604581,0.6236193013135884,0.7285680241669021,0.9171942512647815,0.5940992872791683,0.8555371886354733
AD-S,-0.8007658314287348,-0.21186909157380915,0.1370964344653243,-0.5388254653702579,-0.6565310783691902,-0.4052440439192946
AD-DB,0.7397348626144016,0.540540885460888,-0.43268893972850825,0.6961854118430884,0.6843365605717445,0.46813731876512105
AD-CH,0.7383928488618784,0.18890324945729575,0.08773978890387923,0.3840100984392762,0.366115455893126,0.8482499132965087
AD-idea,-0.9172329526259924,-0.4692267695448982,-0.04235230974329352,0.3452303681719371,-0.26437911815320747,-0.5949552881432562
