Metric,Correlation,P-value
cSIL,0.6336963391078294,0.09159095716855459
GD43,0.6432701931387967,0.08529251537580973
GD53,0.693640629982837,0.056379425392161356
PS,0.36861995370747047,0.3688957315191821
rCIP,-0.2623875157168495,0.5301378302833724
WB,-0.6490907284683739,0.081590105137783
XB,-0.7008450499213328,0.05281258537520741
SSE,-0.22804305555145932,0.5870118376856667
RS,0.7532838305069494,0.03093920724907981
DH,-0.23266191540070563,0.5792461941213836
B,-0.20325716857577797,0.6292592892560034
BH,-0.057504762826613674,0.8924160296717927
D,0.09952415618318401,0.8146207861646149
H,-0.6688015541847967,0.06975851312798509
DBCV,0.5613798262431887,0.14765136888991687
I,0.21433378911632356,0.6102623652408963
C,-0.3682654896874256,0.36939215482290344
VIASCKDE,-0.2564015228813641,0.5399019372046883
COP,-0.31013118630800496,0.45471420523700506
Sym,0.18530389109462583,0.660426869996405
CS,-0.4522174761083815,0.26059870187240447
SF,0.58069793650068,0.13120104905303492
SD,-0.1008863019367373,0.8121177964821098
SDbw,-0.2833521848701294,0.5380422738884717
XB*,-0.42366811576798136,0.2955612890886317
S,0.5690250235352688,0.14101233569904553
DB,-0.5137789627565116,0.19276652412428752
CH,0.24353185630179344,0.5611107064631604
AD-S,0.0962197690376845,0.820698372865997
AD-DB,-0.24378475893707452,0.5606911476433465
AD-CH,0.3912705221897755,0.33780467918055124
AD-idea,-0.26676373796599123,0.5230409900588854
