Metric,Correlation,P-value
cSIL,-0.6139561811245376,0.10540181417471861
GD43,0.04788133504687002,0.9103596196782737
GD53,-0.3651085919593301,0.3738265675563106
PS,0.14955290462085147,0.7237413877985389
rCIP,-0.16305542971920237,0.6996468053033057
WB,-0.40616704499887096,0.318049071713827
XB,0.16681480510163252,0.6929762822675152
SSE,-0.2914868611640377,0.4836306231061562
RS,0.27797586792076606,0.5050220484897159
DH,-0.04917947863286291,0.9079370528379439
B,-0.056856137032419,0.8936242631424993
BH,-0.5592940342348023,0.14949192466749892
D,-0.2558923732516476,0.5407354300582801
H,-0.1307577640512028,0.7576094121274743
DBCV,-0.39259693697298853,0.33602304114869325
I,-0.4287420000416499,0.28919013748489697
C,-0.41162112810992707,0.31095641766780185
VIASCKDE,0.5026994176758856,0.20419446115804263
COP,-0.24838687000016474,0.5530756781986892
Sym,0.24326110776469276,0.5615599929608293
CS,0.3720677276253501,0.36408284759014353
SF,0.1086629556314258,0.7978550930524848
SD,0.511532546034527,0.19505551122730286
SDbw,-0.1302029971369141,0.834689998905427
XB*,-0.08405493873830838,0.8431377510655713
S,0.11685713954137217,0.7828793833897215
DB,0.5773919391545053,0.1339398737510857
CH,0.6279811072657675,0.09547505980863047
AD-S,-0.2559508899810848,0.5406396127963775
AD-DB,0.5065531368228658,0.20018021415661086
AD-CH,0.6275371263948352,0.09578068837950685
AD-idea,-0.17238902984665028,0.6831172931552826
