Metric,Correlation,P-value
cSIL,,
GD43,,
GD53,,
PS,,
rCIP,,
WB,,
XB,,
SSE,-0.15020135232472193,0.4119125704290246
RS,,
DH,0.2733407280082091,0.13009567606421182
B,0.2002281680975575,0.2718678830442255
BH,0.31646185665551174,0.07762684478281862
D,0.17405562199821437,0.3407253459702386
H,,
DBCV,0.6175467506841615,0.00016624724244348918
I,0.20852833175730923,0.25207324965514555
C,-0.04605625344719386,0.8023548700470486
CDbw,0.19661347487163555,0.2807954879856379
VIASCKDE,0.4250250936005324,0.019217200726243402
COP,0.046069990138168565,0.8022970804339034
Sym,0.31583098129010534,0.07825283691758453
CS,0.17738530309503714,0.3314231770619811
SF,0.5419930714173753,0.0013547050649342863
SD,0.1530576282698397,0.40297421680134504
SDbw,0.2601647431455142,0.15041697400623893
XB*,0.16868066562406858,0.3560723795807358
S,0.3365284959064081,0.05965941806676804
DB,0.20479767593132567,0.26084892343144545
CH,0.27291826059869184,0.13071410574369546
ED-S,0.5881757588068581,0.0003995751919571937
ED-DB,,
ED-CH,0.18867007843831451,0.30107028985821405
AD-S,0.5663537596868076,0.000727461668484294
AD-DB,-0.6500051600276497,5.6632456764539273e-05
AD-CH,0.2853132514093728,0.11345235731508074
AD-idea,-0.4723822842861839,0.006334774596776219
