,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering
cSIL,-0.36123090223706733,,,0.24098667029716456,-0.03547396910917269,0.09318024630042351
GD43,0.25139572381626657,,,0.4940885251694221,0.14393176211350928,0.42655691219759334
GD53,0.13985206898593674,,,0.4308134066372848,-0.12205135022405028,0.1721875410099938
PS,-0.02229710167620908,,,0.3377105585603426,0.04061431258742964,0.18342434919340034
rCIP,-0.426655591096259,,,0.1457479856925381,-0.14855791330230944,-0.15812033008980558
WB,0.8740413438307316,,,0.5478544995482506,0.522999244120258,0.7518532970163412
XB,-0.030106325381982813,,,0.36032278426179193,0.08835304009052496,0.2823246626044636
SSE,0.48600210973772257,-0.09945945945945947,0.23488104419133693,-0.013218312561109946,0.3775289686169929,0.31579493545740234
RS,-0.3180778095519731,,,0.6107528744879143,0.2899065219688274,0.20761075630677597
DH,0.005927347135402359,0.2233854907539118,-0.17731356952088861,-0.1942151317499412,0.04541870951369931,-0.030044705783228546
B,0.22404866710680152,-0.8430725462304409,-0.42408855498063636,-0.17119447504239022,0.0968835538810406,0.03951304050729682
BH,0.5130748530151963,-0.608307254623044,0.1545091476147875,-0.10422416673886407,0.39777426378487146,0.26020721499628385
D,-0.5353335081806704,-0.5250535210198308,-0.3504035348538269,0.27341869291986676,-0.1293262120344947,0.06444868106824364
H,-0.5753969887819614,,,0.21046573511392752,-0.05296486378360707,-0.00844489728676276
DBCV,-0.5690817647851554,0.4582645803698435,-0.11758817354176201,0.48824832605170987,0.032546176846961,0.270576041972493
I,-0.1808740515602295,-0.6318634423897581,-0.25551434037038817,0.16109509016423879,0.0694117955169197,-0.07491126697669628
C,0.4099587421488834,0.7711806543385491,-0.0889568311759703,0.20900528484968503,0.09667042649859706,0.5294210974038798
VIASCKDE,0.15849602219240516,0.5906401137980085,0.10934198546274246,-0.2803078635518332,-0.3515074029899804,-0.08924981403991625
COP,0.3221987853170556,-0.298122332859175,-0.06415955255075227,0.12434867631223932,-0.08369177698551702,0.04523431185123033
Sym,0.35541703928036633,0.11368421052631578,-0.003828610148634021,-0.05130140970580591,0.25358094641200957,0.28948202434836107
CS,-0.48497292563432776,0.1661450924608819,-0.3537229753276289,-0.17416488235949357,0.028843540118068958,-0.08765976882529691
SF,-0.22218767332288253,-0.4726884779516358,-0.31561544095793065,0.3142690941495353,0.08816519900769336,0.33939330460650835
SD,-0.2623546320299075,-0.2728876244665719,0.13211969303150026,0.014975803557062765,0.1495567221369813,-0.008658629391105453
SDbw,-0.30517587596094775,0.3088417975886007,-0.18049171605019837,0.2486267772779674,0.7885161476632816,0.02520994207011789
XB*,-0.21878278946505278,0.3211664295874822,-0.28274835958230204,0.49575939479525016,0.11954456890930534,0.13339432229720022
S,0.16836723089184438,0.5857183499288763,-0.12479993179272741,0.35660977511541275,0.03265093437392477,0.2703331695886272
DB,-0.42122465571668444,-0.08079658605974395,-0.23933627884611658,0.07982969664715275,-0.023475619943304507,-0.009856181169916909
CH,0.7795621252765534,0.799487908961593,0.2255490491673675,0.31493743579588357,0.24535928670961124,0.45168240672240967
AD-S,-0.5310898058861432,0.5871408250355619,-0.23538991575745996,0.2530748642527463,-0.47719621138133944,-0.2093712194449826
AD-DB,-0.5699898832547319,0.30264580369843525,-0.22822218996023533,-0.012327190365978936,-0.37700156865365814,-0.01794936829945962
AD-CH,0.7118739425688759,0.5310384068278804,0.26230764162921183,0.20670321917892995,0.2125846300840137,0.17840773104258328
AD-idea,0.13916106869758088,0.6082788051209104,-0.0759181524653143,-0.11163780833446788,-0.29035806303332645,-0.14716673923899992
