Metric,Correlation,P-value
cSIL,,
GD43,,
GD53,,
PS,,
rCIP,,
WB,,
XB,,
SSE,0.67950600268584,0.06378552333844627
RS,,
DH,0.3118323579406334,0.4521116260576806
B,0.48158327488409414,0.22693004659973348
BH,0.11955747454979596,0.7779567664490414
D,-0.3718513851595968,0.36438401008501775
H,,
DBCV,-0.2986212087271165,0.4724815257963413
I,0.5338584935782595,0.17294412266636788
C,-0.2796940647186083,0.502281911266793
VIASCKDE,0.2183467520314566,0.603425916740437
COP,0.24702468238661848,0.5553259651424411
Sym,-0.0728749396160955,0.8638424938078351
CS,0.6359855370388044,0.09006127919393081
SF,-0.1685372619559844,0.6899257266374819
SD,0.48431866684615243,0.22391469748822174
SDbw,-0.5216786821836286,0.36727415366881566
XB*,-0.05879038909552284,0.8900217543290799
S,0.22463097115237435,0.5927707909946143
DB,0.6262742214110281,0.09665312531136436
CH,0.6402578402578029,0.08724625841761305
AD-S,-0.21256268501132014,0.61328748292399
AD-DB,-0.18268156526946078,0.6650164566401389
AD-CH,0.8682937040923594,0.005162292990951552
AD-idea,-0.36837367021292444,0.3692406172691924
