,ecoli,glass,ionosphere,sonar
cSIL,-0.28843868804630535,-0.28112136445898456,0.5482640146629335,0.15362833299317613
GD43,-0.043393141420892394,-0.2707151821367833,0.46634322853847304,-0.4113327720896679
GD53,-0.6158856387682704,-0.371706525944418,-0.41183894651661396,-0.527333861912978
PS,-0.26785121372129,-0.3668409952661747,-0.49202500100694063,0.36892581326871027
rCIP,0.6199625904563928,0.6312479772109294,0.534832012710346,0.7126757823769466
WB,-0.3779311472287503,-0.33507064748467313,-0.7059007372810747,-0.8083998017809484
XB,0.20531712122728912,0.3473793028429648,-0.42293835728879614,0.34771860371627583
SSE,-0.5393973432827581,-0.48033119952282766,-0.6569295444851359,-0.7616161695484761
RS,-0.01279258355718926,0.010605776390749791,0.6757114574212022,-0.6163204772122938
DH,-0.32565174404143826,-0.12455249155690609,-0.511340624320941,-0.35005651502409413
B,-0.2342082735565615,-0.2518853656357529,-0.7034593905531933,-0.4582897130746292
BH,-0.9688944630747971,-0.6515312383732119,-0.6160445356383005,-0.7608821548713937
D,-0.5852697812489401,-0.3911956293085686,-0.05169239853785612,-0.4896646355607886
H,0.3296212932922841,0.4518713269498023,-0.1123000188316062,0.6323577866016438
DBCV,-0.6667271081758013,-0.10980795384936536,0.3008247624981774,0.4284198998571882
I,-0.5487371210213974,-0.3869941925532603,0.447918663683881,-0.5847241554316022
C,0.4015239615937537,0.17707247835629417,-0.7981070352925386,-0.5452110794136634
VIASCKDE,0.493165306898723,0.40203644735564464,0.5515481709550989,-0.7583592352772082
COP,-0.3163318397639446,0.4191748955916481,-0.2930883964061384,-0.7587997249928157
Sym,0.008817774816990847,0.10577840857868102,0.7167341602931477,0.3289932210136368
CS,0.18853088742402468,0.0573382215787911,-0.5727841310997276,-0.26299210143045915
SF,-0.1161325009593231,-0.3793345878882384,0.1356233633631088,-0.5364310708947909
SD,-0.4464205537127433,-0.5261380783304667,-0.6548243626990969,-0.5438883065381082
SDbw,-0.7167206557967157,-0.2395609327758373,-0.6883773800353041,1.0
XB*,0.3324192920641806,0.4198764302517136,-0.15691923367979957,0.6827384907131365
S,-0.2964861914772862,-0.36452574957449224,0.5803440968283591,0.3655774183012755
DB,0.22846429401896953,0.288206455205288,-0.6449001218281477,-0.40724172619824855
CH,0.24561866954218228,0.08248003370905721,0.7180497830703657,0.6184556922172607
AD-S,-0.6750830220504042,-0.28042561027843976,0.3497900629149796,0.10009707169377739
AD-DB,0.6074442739785647,0.23069370798377808,-0.48275096998803013,0.16379021112985181
AD-CH,-0.1510066802708886,-0.2656574617701212,0.15793103104758335,-0.30051013798160525
AD-idea,0.06483115357016117,0.2216404071875709,0.5415097183227279,0.595462017120306
