,correct,correct,correct,correct,errors,errors,errors,errors
algorithm,AgglomerativeClustering,KMeans,MeanShift,SpectralClustering,AgglomerativeClustering,KMeans,MeanShift,SpectralClustering
metric,,,,,,,,
AD-CH,1,2,0,0,35,11,128,223
AD-DB,0,2,1,0,91,9,149,373
AD-S,0,4,0,0,74,8,138,348
AD-idea,0,3,2,0,61,12,41,404
B,0,4,1,0,77,8,44,425
BH,3,3,1,0,34,14,42,335
C,1,3,0,0,50,14,99,317
CH,3,2,0,0,22,11,107,205
COP,1,3,0,1,32,9,33,209
CS,0,5,0,0,86,5,108,353
D,1,3,0,0,35,8,0,339
DB,0,4,0,0,81,8,140,317
DBCV,0,2,0,0,77,9,114,308
DH,0,2,1,0,84,13,56,405
GD43,0,2,0,0,82,15,136,377
GD53,0,2,0,0,60,13,99,321
H,0,2,0,0,87,11,173,315
I,0,2,0,0,60,11,167,327
PS,2,3,0,0,28,12,165,217
RS,0,2,0,0,75,12,185,249
S,0,5,1,0,56,4,139,313
SD,0,3,1,0,74,13,44,311
SDbw,0,3,0,0,45,11,0,285
SF,0,2,0,0,74,11,186,247
SSE,3,3,1,0,26,14,40,270
Sym,0,3,0,0,50,8,146,320
VIASCKDE,4,3,0,0,12,8,0,235
WB,4,3,1,0,17,7,76,187
XB,0,3,0,0,53,9,114,314
XB*,0,2,0,0,81,15,156,372
cSIL,0,4,0,0,86,8,129,293
rCIP,0,2,0,1,94,11,174,304
