Metric,Correlation,P-value
cSIL,0.2128954800911281,0.2863446955563333
GD43,0.1967053500645033,0.3254115848908226
GD53,0.2173413711938358,0.2761613900287615
PS,0.0523857721746674,0.7952478624117311
rCIP,0.1820111269766797,-0.3635465682454766
WB,-0.1534177567405133,-0.4448670410243593
XB,-0.1534482224013577,-0.4447755461983695
SSE,0.1418697270364754,-0.4802643969177295
RS,0.3054529965665351,0.1212918804505322
DH,0.2292283268043511,-0.2500864680643869
B,-0.1534314323923504,-0.4448259689020689
BH,0.0292004910182724,-0.885041680866101
D,0.1872050018671794,0.3497782986309593
H,0.2955178915067303,-0.1345098757144978
DBCV,0.5281344423465616,0.0046316154936222
I,0.2113911288766603,0.2898435934924491
C,-0.0010367354174988,-0.9959051837042462
CDbw,0.1726879052092968,0.389044868679782
VIASCKDE,0.1066933883615569,0.5963353221991917
COP,0.0848988359266971,-0.6737299781272323
Sym,0.3031079565214333,0.124322148465485
CS,-0.1506363952548092,-0.4532623711830842
SF,0.3760163677658438,0.0532362479538155
SD,0.6119789225898589,-0.0006930691172051
SDbw,-0.0037545683156724,-0.9851712405584118
XB*,-0.1534401317278329,-0.4447998432205104
S,0.2321480322811155,0.2439377016233227
DB,-0.1496724425972437,-0.4561914412879362
CH,0.1249452213347101,0.5346295622708491
AD-S,0.4904876674677412,0.0093910732930094
AD-DB,0.5690619053927526,-0.0019505242621477
AD-CH,0.1775651830963035,0.3755809975954779
AD-idea,0.2756322268482103,0.1640481244215892
