Metric,Correlation,P-value
cSIL,0.3734478718005166,0.05501667106592748
GD43,0.3219962936652801,0.10143618123345548
GD53,0.21866944846271733,0.27316498329264427
PS,-0.07193255037173676,0.7214298493873962
rCIP,-0.13378405382376432,0.5058785895830196
WB,-0.1954258340947751,0.3286314185046693
XB,-0.3440322528728189,0.0788933542173309
SSE,0.08986625365011422,0.6557657625547537
RS,0.3908544953446679,0.04381714744612969
DH,-0.10370301268016238,0.6067276265335675
B,-0.02841779492155832,0.8881037451116711
BH,0.19076548403726082,0.3405220306762796
D,0.4040796485834406,0.03658228457290781
H,-0.4804200874140732,0.011200560273666005
DBCV,0.536551276609866,0.0039108765819679025
I,0.33045990006290266,0.09227014219533124
C,-0.26338835312413944,0.18436744872848473
CDbw,0.026787835932462076,0.8944854558461203
VIASCKDE,0.19781437725220707,0.3432074170199142
COP,0.14815856912379555,0.4608115924834599
Sym,0.31453480207610485,0.11006671842737438
CS,-0.2613560366220497,0.18790208462294317
SF,0.4621241888004146,0.015231957748660572
SD,-0.16638421953346022,0.4068482270546438
SDbw,-0.13301048185476325,0.5083639782875135
XB*,-0.479191205198501,0.011440080094779183
S,0.4739963701233109,0.012500222384618695
DB,-0.30567753613494925,0.12100459975446981
CH,0.30146254035936,0.12648119358282164
AD-S,0.5898216165839864,0.0012037803817352174
AD-DB,-0.568372430577156,0.0019809763980168887
AD-CH,0.3341200855633472,0.08850546338934048
AD-idea,0.05044997182586733,0.8026644773515292
