Metric,Correlation,P-value
cSIL,-0.25413192731706774,0.16045064064084485
GD43,0.20744644300912646,0.2545978225531132
GD53,0.4271516047335143,0.014755547269209357
PS,0.5873797598314874,0.00040870994608111064
rCIP,-0.5243832221816725,0.0020642898245791987
WB,0.16941083206702567,0.353963631329674
XB,0.21879771496764097,0.22893472295177067
SSE,-0.3365015028525875,0.059681165274740704
RS,0.05784196321030338,0.7531801710296689
DH,0.40204162937503135,0.02254758081386541
B,0.16937365313359337,0.35407082418599223
BH,0.28312239074372086,0.11637230067453908
D,0.3153901312869235,0.07869258344167726
H,-0.5801151293749007,0.0005010095560452835
DBCV,0.7208134618539945,3.2701307309340026e-06
I,0.20564552119273766,0.25883714400509544
C,-0.010798386488508394,0.9532259663781415
CDbw,-0.4284135645954273,0.014432655728495126
VIASCKDE,0.5179135512101386,0.0023963624063561397
COP,0.23835223583983006,0.18894454594877158
Sym,0.2832771480492394,0.11616422220564955
CS,0.17311260044160046,0.34338842516395096
SF,0.5361262437324882,0.0015627346905444507
SD,0.11859131388993449,0.5179875338462887
SDbw,0.3252134274117373,0.06933642238087839
XB*,0.22724356183153277,0.21101443734393432
S,0.3813092065520729,0.031295651600992166
DB,0.21449702276499039,0.23844365501364073
CH,0.23416922018487413,0.19705694896049678
