,correct,correct,correct,correct,correct,correct,errors,errors,errors,errors,errors,errors
clusterer,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering
cvi,,,,,,,,,,,,
cSIL,0,0,0,4,1,1,364,75,343,198,76,213
GD43,0,0,0,3,1,0,289,75,343,198,71,231
GD53,0,0,0,3,0,0,260,75,343,162,48,179
PS,0,0,0,4,0,0,156,75,343,156,130,107
rCIP,0,0,0,3,0,0,412,75,343,126,139,212
WB,2,0,0,3,1,1,80,75,343,126,83,87
XB,0,0,0,2,1,0,234,75,343,234,81,185
SSE,3,2,1,2,1,0,58,34,140,324,33,153
RS,0,0,0,2,0,0,316,75,343,180,132,168
DH,0,1,3,2,1,0,275,38,162,324,42,261
B,0,1,1,3,1,0,271,53,199,216,44,242
BH,3,1,2,2,1,0,61,48,174,324,35,192
D,0,1,3,0,1,0,379,51,165,180,118,260
H,0,0,0,2,0,0,384,75,343,144,127,203
DBCV,0,2,4,1,0,0,308,21,132,246,77,167
I,0,0,2,2,0,0,248,55,180,216,139,177
C,1,1,5,2,0,0,184,15,62,324,60,164
VIASCKDE,3,1,3,3,0,0,274,20,150,180,188,188
COP,0,0,3,3,0,0,156,37,125,144,129,154
Sym,0,0,5,3,0,0,186,22,76,198,123,155
CS,0,1,3,4,0,0,369,37,166,162,72,219
SF,0,1,2,2,0,0,357,48,178,144,131,164
SD,0,1,2,3,1,0,262,43,182,288,40,203
SDbw,0,1,3,3,0,0,264,39,137,234,50,206
XB*,0,0,3,3,1,0,298,27,148,198,103,220
S,0,1,5,4,1,0,223,17,61,162,113,173
DB,0,1,3,4,1,0,350,43,167,162,81,186
CH,1,1,5,3,0,1,93,17,58,126,113,94
ED-S,0,0,0,0,0,0,528,75,343,594,188,396
ED-DB,0,0,0,0,0,0,528,75,343,594,188,396
ED-CH,0,0,0,0,0,0,528,75,343,594,188,396
AD-S,0,2,4,3,0,0,334,17,74,198,106,243
AD-DB,0,1,4,2,0,0,392,42,132,180,109,245
AD-CH,0,1,2,3,0,0,146,19,138,126,127,142
AD-idea,0,0,4,4,0,0,219,32,106,162,136,196
