,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.989,0.060,0.989,0.989,0.989,0.014,0.002s
GD43 (↑),24.194,0.142,24.194,24.194,24.194,0.067,0.001s
GD53 (↑),0.489,0.499*,0.489,0.489,0.489,0.497*,0.001s
PS (↑),1.958,1.629,1.958,1.958,1.958,1.963*,0.000s
rCIP (↓),0.000,0.153,0.000,0.000,0.000,0.687,0.001s
WB (↓),0.093,131.776,0.093,0.093,0.093,556.328,0.001s
XB (↓),0.012,15.808,0.012,0.012,0.012,69.541,0.001s
SSE (↓),50.735,1125.360,50.735,50.735,50.735,1138.347,0.000s
RS (↑),0.911,-0.970,0.911,0.911,0.911,-0.993,0.000s
DH (↓),0.135,0.945,0.135,0.135,0.135,0.995,0.023s
B (↓),0.023,30.432,0.023,0.023,0.023,139.275,0.000s
BH (↓),25.367,562.680,25.367,25.367,25.367,569.174,0.000s
D (↑),1.700,0.200,1.700,1.609,1.609,0.203,0.003s
H (↓),0.023,1.881,0.023,0.023,0.023,1.972,0.000s
DBCV (↑),0.988,-0.998,0.988,0.988,0.988,-0.998,6.140s
I (↑),20.295,0.013,20.295,20.295,20.295,0.003,0.000s
C (↓),0.000,0.483,0.000,0.000,0.000,0.499,0.068s
CDbw (↑),0.265,0.009,0.265,0.256,0.256,0.013,0.064s
VIASCKDE (↑),0.819,0.639,0.819,0.819,0.819,-0.015,0.073s
COP (↓),0.194,0.409,0.194,0.194,0.194,0.416,0.012s
Sym (↑),0.203,0.005,0.203,0.203,0.203,0.002,0.003s
CS (↓),0.328,9.529,0.328,0.328,0.328,19.952,0.004s
SF (↑),0.646,0.161,0.646,0.646,0.646,0.159,0.001s
SD (↓),1272.620,28243.711,1272.620,1272.620,1272.620,28715.039,0.091s
SDbw (↓),0.044,2.576,0.044,0.044,0.044,2.615,0.002s
XB* (↓),0.012,15.825,0.012,0.012,0.012,69.955,0.001s
S (↑),0.864,0.052,0.864,0.864,0.864,0.004,0.040s
DB (↓),0.195,7.855,0.195,0.195,0.195,16.466,0.001s
CH (↑),31028.663,21.886,31028.663,31028.663,31028.663,5.184,0.000s
MST-S (↑),0.982,0.025,0.982,0.982,0.982,0.052,0.148s
MST-DB (↓),0.036,1.031,0.036,0.036,0.036,1.008,0.122s
MST-CH (↑),43036.796,1112.201,43036.796,43036.796,43036.796,1551.177,0.172s
