,gt,rl,time
cSIL (↑),0.280,-0.121,0.029s
GD43 (↑),0.072,0.028,0.003s
GD53 (↑),0.084,0.380*,0.004s
PS (↑),-3.723,4.564*,0.003s
rCIP (↓),35.628,45.285,0.010s
WB (↓),22.432,2032.551,0.003s
XB (↓),11.260,544.366,0.003s
SSE (↓),441.523,635.220,0.001s
RS (↑),-7.069,-8.973,0.001s
DH (↓),0.638,0.995,0.030s
B (↓),0.347,183.765,0.001s
BH (↓),44.152,63.522,0.000s
D (↑),0.036,0.019,0.003s
H (↓),6.399,9.959,0.002s
DBCV (↑),-0.963,-0.957*,4.514s
I (↑),0.084,0.000,0.001s
C (↓),0.273,0.357,0.071s
CDbw (↑),nan,nan,0.000s
VIASCKDE (↑),0.008,-0.042,0.126s
COP (↓),0.246,0.276,0.014s
Sym (↑),0.001,0.000,0.021s
CS (↓),3.202,55.347,0.004s
SF (↑),0.006,0.003,0.002s
SD (↓),30284.053,28885.879*,0.061s
SDbw (↓),1.647,2.778,0.007s
XB* (↓),42.058,620.223,0.002s
S (↑),0.004,-0.047,0.027s
DB (↓),2.994,29.663,0.002s
CH (↑),71.474,0.789,0.001s
