,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.907,0.682,0.666,0.722,0.697,-0.100,0.579s
GD43 (↑),12.954,1.157,1.077,1.294,1.153,0.002,0.015s
GD53 (↑),0.350,0.492*,0.479*,0.481*,0.465*,0.404*,0.015s
PS (↑),3.576,1.770,1.823,1.906,1.661,-2.142,0.015s
rCIP (↓),4.780,0.054*,0.061*,0.019*,0.029*,159.722,0.026s
WB (↓),0.356,3.782,4.017,3.082,3.544,5398.777,0.014s
XB (↓),0.170,0.467,0.499,0.385,0.429,86030.211,0.015s
SSE (↓),31.272,2033.018,2075.032,1884.964,1986.821,3088.043,0.001s
RS (↑),0.648,-0.306,-0.339,-0.214,-0.293,-33.739,0.001s
DH (↓),0.095,0.641,0.657,0.609,0.633,0.993,0.396s
B (↓),0.010,0.924,0.993,0.770,0.832,154.188,0.004s
BH (↓),0.893,1016.509,1037.516,942.482,993.410,88.230,0.001s
D (↑),0.142,0.177*,0.183*,0.215*,0.217*,0.000,0.063s
H (↓),3.252,0.636*,0.667*,0.556*,0.605*,34.972,0.003s
DBCV (↑),-0.213,-0.985,-0.983,-0.881,-0.983,-0.991,33.322s
I (↑),0.488,0.337,0.312,0.402,0.350,0.000,0.002s
C (↓),0.005,0.227,0.239,0.196,0.213,0.465,1.160s
CDbw (↑),0.127,0.003,0.007,0.007,0.003,0.007,3.676s
VIASCKDE (↑),0.687,0.791*,0.793*,0.796*,0.778*,-0.591,8.980s
COP (↓),0.093,0.301,0.321,0.404,0.319,0.414,0.093s
Sym (↑),0.012,0.001,0.001,0.004,0.004,0.000,0.018s
CS (↓),0.936,1.983,1.954,1.587,1.667,110.962,0.078s
SF (↑),0.091,0.302*,0.295*,0.313*,0.297*,0.000,0.013s
SD (↓),2857840.049,174466790.516,178701822.288,189815769.224,200515527.424,265966859.095,0.698s
SDbw (↓),0.052,1.467,1.497,1.720,1.594,2.784,0.023s
XB* (↓),0.206,0.475,0.522,0.400,0.462,95204.721,0.009s
S (↑),0.573,0.341,0.326,0.373,0.350,-0.080,0.552s
DB (↓),0.555,1.238,1.293,1.135,1.225,146.589,0.003s
CH (↑),15091.091,2775.103,2612.654,3405.276,2961.654,0.994,0.001s
ED-S (↑),0.438,0.197,0.406,0.238,0.114,-0.389,355.937s
ED-DB (↓),1.172,3.543,4.040,0.416*,1.186,51.237,19.586s
ED-CH (↑),1980.240,1674.778,5929.491*,11411.883*,1970.912,18.654,19.363s
AD-S (↑),0.423,0.048,0.162,0.165,0.135,-0.032,1.642s
AD-DB (↓),1.206,1.953,1.485,1.622,1.959,13.827,1.647s
AD-CH (↑),630.801,3741.745*,4563.469*,6059.688*,3538.950*,54.096,1.682s
AD-idea (↑),319498198.160,0.907,1.467,1.470,0.985,0.000,1.925s
