,gt,dp,vl,hl,rl
cSIL (↑),0.960,0.679,0.633,0.780,-0.029
GD43 (↑),13.688,0.986,0.852,1.386,0.023
GD53 (↑),0.437,0.435,0.417,0.419,0.451*
PS (↑),2.912,1.706,1.808,1.951,1.790
rCIP (↓),0.000,0.011,0.038,0.007,2.580
WB (↓),0.173,3.886,4.496,2.228,412.373
XB (↓),0.057,0.475,0.558,0.278,720.065
SSEI (↓),20.760,410.243,430.041,327.436,613.916
RSI (↑),0.833,-0.286,-0.405,-0.055,-3.940
DHI (↑),0.151,0.589*,0.641*,0.507*,0.989*
BI (↑),0.028,0.932*,1.110*,0.558*,65.512*
BHI (↓),4.152,205.122,215.021,163.718,122.783
DI (↑),0.612,0.333,0.327,0.421,0.153
HI (↑),0.198,0.628*,0.718*,0.433*,4.965*
DBCVI (↓),0.858,0.914,0.927,0.768*,1.000
SF (↑),0.448,0.286,0.265,0.347,0.021
SD (↓),176600.992,3446187.680,4322102.805,3182560.770,5150787.175
SDbw (↓),0.082,1.172,1.408,0.985,2.419
XB* (↓),0.060,0.546,0.668,0.333,760.443
SS (↑),0.746,0.390,0.342,0.472,-0.051
DBS (↓),0.355,1.285,1.451,0.923,32.010
CHS (↑),7196.318,513.583,443.994,895.858,3.016
ED-SS (↑),0.910,0.563,0.595,0.660,-0.167
ED-DBS (↓),0.172,0.720,0.640,0.725,27.395
ED-CHS (↑),3002.900,1503.802,1853.869,1281.128,27.389
MST-SS (↑),0.869,0.300,0.306,0.581,-0.127
MST-DBS (↓),0.259,1.030,1.029,0.727,16.605
MST-CHS (↑),2550.070,1222.619,1370.543,1519.919,38.500
idea (↓),0.705,1.757,1.624,1.000,33.517
