,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.907,0.682,0.682,0.722,0.697,-0.112,0.831s
GD43 (↑),12.954,1.157,1.157,1.294,1.153,0.001,0.026s
GD53 (↑),0.350,0.492*,0.492*,0.481*,0.465*,0.394*,0.026s
PS (↑),3.576,1.770,1.770,1.906,1.661,-3.437,0.026s
rCIP (↓),4.780,0.054*,0.054*,0.019*,0.029*,159.826,0.040s
WB (↓),0.356,3.782,3.782,3.082,3.544,4525.684,0.018s
XB (↓),0.170,0.467,0.467,0.385,0.429,237303.164,0.028s
SSE (↓),31.272,2033.018,2033.018,1884.964,1986.821,3084.210,0.002s
RS (↑),0.648,-0.306,-0.306,-0.214,-0.293,-33.653,0.001s
DH (↓),0.095,0.641,0.641,0.609,0.633,0.992,0.476s
B (↓),0.010,0.924,0.924,0.770,0.832,124.231,0.006s
BH (↓),0.893,1016.509,1016.509,942.482,993.410,88.120,0.001s
D (↑),0.142,0.177*,0.177*,0.215*,0.217*,0.001,0.053s
H (↓),3.252,0.636*,0.636*,0.556*,0.605*,34.976,0.003s
DBCV (↑),-0.213,-0.985,-0.985,-0.881,-0.983,-0.990,7.432s
I (↑),0.488,0.337,0.337,0.402,0.350,0.000,0.004s
C (↓),0.005,0.227,0.227,0.196,0.213,0.466,1.440s
CDbw (↑),0.127,0.003,0.003,0.007,0.003,0.007,1.166s
VIASCKDE (↑),0.692,0.795*,0.795*,0.801*,0.781*,-0.576,1.155s
COP (↓),0.093,0.301,0.301,0.404,0.319,0.413,0.053s
Sym (↑),0.012,0.001,0.001,0.004,0.004,0.000,0.011s
CS (↓),0.936,1.983,1.983,1.587,1.667,115.276,0.054s
SF (↑),0.091,0.302*,0.302*,0.313*,0.297*,0.000,0.007s
SD (↓),2857840.049,174466790.516,174466790.516,189815769.224,200515527.424,267909937.334,0.554s
SDbw (↓),0.052,1.467,1.467,1.720,1.594,2.794,0.022s
XB* (↓),0.206,0.475,0.475,0.400,0.462,263479.161,0.009s
S (↑),0.573,0.341,0.341,0.373,0.350,-0.083,0.452s
DB (↓),0.555,1.238,1.238,1.135,1.225,190.672,0.003s
CH (↑),15091.091,2775.103,2775.103,3405.276,2961.654,1.186,0.001s
