,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.909,0.690,0.690,0.717,0.741,-0.035,0.011s
GD43 (↑),3.230,1.000,1.000,1.166,1.111,0.025,0.002s
GD53 (↑),0.050,0.463*,0.463*,0.486*,0.413*,0.466*,0.002s
PS (↑),-0.644,1.585*,1.585*,1.742*,1.734*,1.925*,0.003s
rCIP (↓),0.116,0.041*,0.041*,0.020*,0.002*,4.674,0.003s
WB (↓),0.797,3.871,3.871,3.221,2.736,931.948,0.002s
XB (↓),0.195,0.458,0.458,0.396,0.336,535.666,0.002s
SSE (↓),57.186,368.992,368.992,345.263,323.279,555.451,0.000s
RS (↑),0.511,-0.286,-0.286,-0.229,-0.183,-5.933,0.001s
DH (↓),0.210,0.621,0.621,0.610,0.565,0.992,0.011s
B (↓),0.086,0.870,0.870,0.783,0.663,114.951,0.000s
BH (↓),8.169,184.496,184.496,172.631,161.639,79.350,0.001s
D (↑),0.483,0.201,0.201,0.305,0.368,0.028,0.002s
H (↓),0.584,0.616,0.616,0.566*,0.509*,6.973,0.001s
DBCV (↑),0.092,-0.924,-0.924,-0.900,-0.706,-0.949,5.012s
I (↑),0.969,0.434,0.434,0.460,0.590,0.001,0.001s
C (↓),0.023,0.228,0.228,0.209,0.152,0.512,0.033s
CDbw (↑),0.332,0.008,0.008,0.007,0.021,0.008,0.019s
VIASCKDE (↑),0.628,0.517,0.517,0.583,0.623,-0.232,0.048s
COP (↓),0.178,0.295,0.295,0.297,0.337,0.387,0.017s
Sym (↑),0.043,0.005,0.005,0.013,0.018,0.000,0.004s
CS (↓),0.720,1.838,1.838,1.543,1.411,39.763,0.004s
SF (↑),0.251,0.285*,0.285*,0.281*,0.302*,0.004,0.002s
SD (↓),6068.380,51971.742,51971.742,57677.990,59425.077,82902.726,0.046s
SDbw (↓),0.274,1.444,1.444,1.574,1.462,2.808,0.004s
XB* (↓),0.254,0.494,0.494,0.408,0.407,552.487,0.003s
S (↑),0.473,0.354,0.354,0.365,0.432,-0.047,0.018s
DB (↓),0.544,1.199,1.199,1.183,1.063,34.433,0.002s
CH (↑),1143.646,406.068,406.068,487.996,574.632,0.978,0.000s
