,gt,dp,vl,hl,rl
cSIL (↑),0.000,0.695*,0.709*,0.682*,0.004*
GD43 (↑),0.004,1.307*,1.381*,1.253*,0.044*
GD53 (↑),0.313,0.495*,0.500*,0.495*,0.499*
PS (↑),1.963,1.951,1.947,1.959,1.928
rCIP (↓),0.310,0.042*,0.042*,0.041*,0.309*
WB (↓),80510.993,3.507*,3.285*,3.738*,1975.904*
XB (↓),10063.874,0.438*,0.411*,0.467*,246.908*
SSE (↑),513.484,327.020,319.178,334.506,512.978
RS (↑),-1.000,-0.274*,-0.243*,-0.303*,-0.998*
DH (↑),0.901,0.633,0.623,0.642,0.998*
B (↑),20168.084,0.879,0.823,0.936,494.645
BH (↑),256.742,163.510,159.589,167.253,256.489
D (↑),0.160,0.302*,0.279*,0.304*,0.153
H (↑),2.000,0.610,0.582,0.637,1.992
DBCV (↑),0.824,-0.941,-0.934,-0.975,-0.989
I (↑),0.000,0.326*,0.345*,0.306*,0.001*
C (↓),0.435,0.215*,0.206*,0.224*,0.500
CDbw (↑),0.020,0.004,0.008,0.004,0.004
VIASCKDE (↑),0.752,0.600,0.659,0.629,-0.006
COP (↑),0.506,0.384,0.342,0.359,0.447
Sym (↑),0.000,0.008*,0.009*,0.008*,0.001*
CS (↓),203.179,1.716*,1.686*,1.782*,36.438*
SF (↑),0.227,0.325*,0.328*,0.321*,0.227
SD (↓),6378786.938,4034320.669*,4477763.449*,4810237.406*,6334088.707*
SDbw (↓),2.000,2.206,2.187,2.260,2.960
XB* (↓),16079.616,0.443*,0.411*,0.472*,247.493*
S (↑),0.114,0.351*,0.360*,0.343*,0.000
DB (↑),189.945,1.189,1.155,1.227,29.752
CH (↑),0.025,569.090*,607.591*,534.018*,1.010*
ED-S (↑),0.645,-0.038,-0.101,0.026,-0.192
ED-DB (↓),0.770,5.175,5.577,4.130,7.006
ED-CH (↑),4645.798,1615.497,295.971,315.412,246.993
MST-S (↑),0.620,-0.105,-0.108,-0.110,-0.136
MST-DB (↓),0.760,5.045,5.074,5.064,6.814
MST-CH (↑),1677.288,332.498,343.456,298.958,248.348
idea (↓),0.797,4.582,4.582,4.582,6.125
