,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.573,0.560,0.560,0.681*,0.687*,0.003,0.006s
GD43 (↑),1.517,1.470,1.470,1.880*,2.044*,0.060,0.002s
GD53 (↑),0.489,0.495*,0.495*,0.468,0.480,0.494*,0.002s
PS (↑),1.955,1.571,1.571,1.455,1.839,1.947,0.001s
rCIP (↓),0.589,0.229*,0.229*,0.232*,0.234*,0.883,0.001s
WB (↓),5.946,6.697,6.697,4.376*,3.673*,2921.333,0.001s
XB (↓),0.743,0.787,0.787,0.483*,0.457*,365.141,0.001s
SSE (↓),283.708,291.943,291.943,260.198*,245.461*,378.872,0.000s
RS (↑),-0.497,-0.535,-0.535,-0.324*,-0.291*,-0.999,0.001s
DH (↓),0.765,0.732*,0.732*,0.655*,0.655*,0.999,0.084s
B (↓),1.488,1.488,1.488,0.867*,0.911*,730.951,0.001s
BH (↓),141.854,145.971,145.971,130.099*,122.730*,189.436,0.000s
D (↑),0.013,0.109*,0.109*,0.148*,0.135*,0.004,0.015s
H (↓),0.853,0.879,0.879,0.634*,0.626*,1.995,0.001s
DBCV (↑),-0.994,-0.996,-0.996,-0.996,-0.988*,-0.996,7.512s
I (↑),0.063,0.062,0.062,0.100*,0.105*,0.000,0.001s
C (↓),0.341,0.322*,0.322*,0.276*,0.252*,0.500,0.533s
CDbw (↑),0.020,0.012,0.012,0.011,0.014,0.012,0.013s
VIASCKDE (↑),0.201,0.687*,0.687*,0.700*,0.686*,0.008,2.056s
COP (↓),0.265,0.250*,0.250*,0.255*,0.239*,0.294,0.040s
Sym (↑),0.009,0.008,0.008,0.009,0.009,0.000,2.403s
CS (↓),2.784,3.132,3.132,2.383*,2.436*,63.210,23.441s
SF (↑),0.409,0.412*,0.412*,0.427*,0.430*,0.371,0.003s
SD (↓),1386252.546,1422222.206,1422222.206,1346489.363*,1309151.074*,1854859.302,0.206s
SDbw (↓),2.450,2.178*,2.178*,1.979*,2.256*,2.973,0.002s
XB* (↓),0.760,0.796,0.796,0.517*,0.476*,369.310,0.001s
S (↑),0.199,0.254*,0.254*,0.305*,0.322*,0.000,0.090s
DB (↓),1.535,1.534*,1.534*,1.191*,1.187*,34.070,0.003s
CH (↑),682.445,605.960,605.960,927.434*,1104.931*,1.389,0.001s
ED-S (↑),-0.037,-0.030*,-0.030*,-0.024*,-0.032*,-0.073,18.502s
ED-DB (↓),2.278,2.515,2.515,2.647,2.480,9.347,4.058s
ED-CH (↑),1701.898,1364.794,1364.794,1703.607*,1416.489,218.914,4.157s
MST-S (↑),-0.071,-0.053*,-0.053*,-0.063*,-0.060*,-0.080,8.247s
MST-DB (↓),2.644,2.575*,2.575*,2.707,2.620*,5.877,3.748s
MST-CH (↑),1490.119,1463.568,1463.568,1475.161,1500.513*,348.167,3.694s
