,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.907,0.682,0.682,0.722,0.697,-0.166,0.712s
GD43 (↑),12.954,1.157,1.157,1.294,1.153,0.002,0.030s
GD53 (↑),0.350,0.492*,0.492*,0.481*,0.465*,0.389*,0.020s
PS (↑),3.576,1.770,1.770,1.906,1.661,-0.076,0.025s
rCIP (↓),4.780,0.054*,0.054*,0.019*,0.029*,159.808,0.037s
WB (↓),0.356,3.782,3.782,3.082,3.544,7363.299,0.033s
XB (↓),0.170,0.467,0.467,0.385,0.429,96981.926,0.043s
SSE (↓),31.272,2033.018,2033.018,1884.964,1986.821,3093.359,0.001s
RS (↑),0.648,-0.306,-0.306,-0.214,-0.293,-33.783,0.002s
DH (↓),0.095,0.641,0.641,0.609,0.633,0.994,0.570s
B (↓),0.010,0.924,0.924,0.770,0.832,201.771,0.003s
BH (↓),0.893,1016.509,1016.509,942.482,993.410,88.382,0.003s
D (↑),0.142,0.177*,0.177*,0.215*,0.217*,0.000,0.061s
H (↓),3.252,0.636*,0.636*,0.556*,0.605*,34.968,0.000s
DBCV (↑),-0.213,-0.985,-0.985,-0.881,-0.983,-0.991,9.891s
I (↑),0.488,0.337,0.337,0.402,0.350,0.000,0.006s
C (↓),0.005,0.227,0.227,0.196,0.213,0.466,1.592s
CDbw (↑),0.127,0.003,0.003,0.007,0.003,0.007,1.273s
VIASCKDE (↑),0.692,0.795*,0.795*,0.801*,0.781*,-0.582,1.507s
COP (↓),0.093,0.301,0.301,0.404,0.319,0.416,0.100s
Sym (↑),0.012,0.001,0.001,0.004,0.004,0.000,9.077s
CS (↓),0.936,1.983,1.983,1.587,1.667,117.704,0.086s
SF (↑),0.091,0.302*,0.302*,0.313*,0.297*,0.000,0.012s
SD (↓),2857840.049,174466790.516,174466790.516,189815769.224,200515527.424,267068927.397,0.947s
SDbw (↓),0.052,1.467,1.467,1.720,1.594,2.750,0.044s
XB* (↓),0.206,0.475,0.475,0.400,0.462,107613.075,0.014s
S (↑),0.573,0.341,0.341,0.373,0.350,-0.077,0.578s
DB (↓),0.555,1.238,1.238,1.135,1.225,176.686,0.006s
CH (↑),15091.091,2775.103,2775.103,3405.276,2961.654,0.729,0.003s
