,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.891,0.466,0.466,0.902*,0.878,0.001,0.003s
GD43 (↑),2.112,0.607,0.607,3.081*,2.623*,0.017,0.001s
GD53 (↑),0.055,0.428*,0.428*,0.405*,0.432*,0.498*,0.001s
PS (↑),2.395,1.419,1.419,1.940,1.808,1.912,0.001s
rCIP (↓),0.095,0.103,0.103,0.011*,0.015*,1.357,0.002s
WB (↓),0.529,10.349,10.349,0.860,1.132,4068.437,0.002s
XB (↓),0.116,1.113,1.113,0.108*,0.141,1573.691,0.002s
SSE (↓),79.946,447.303,447.303,160.520,192.930,533.351,0.000s
RS (↑),0.550,-0.508,-0.508,0.397,0.288,-1.998,0.001s
DH (↓),0.260,0.725,0.725,0.352,0.389,0.999,0.018s
B (↓),0.118,1.956,1.956,0.215,0.280,903.386,0.001s
BH (↓),26.649,223.651,223.651,80.260,96.465,177.784,0.000s
D (↑),0.092,0.136*,0.136*,0.345*,0.154*,0.006,0.004s
H (↓),0.275,0.978,0.978,0.194*,0.242*,2.997,0.001s
DBCV (↑),0.036,-0.995,-0.995,-0.799,-0.930,-0.998,7.538s
I (↑),2.955,0.127,0.127,1.503,1.135,0.000,0.001s
C (↓),0.047,0.388,0.388,0.059,0.100,0.494,0.104s
CDbw (↑),0.042,0.015,0.015,0.033,0.023,0.018,0.008s
VIASCKDE (↑),0.605,0.586,0.586,0.646*,0.630*,-0.111,0.507s
COP (↓),0.196,0.382,0.382,0.232,0.270,0.436,0.019s
Sym (↑),0.049,0.005,0.005,0.014,0.010,0.000,0.562s
CS (↓),0.875,2.586,2.586,1.037,1.206,72.552,4.899s
SF (↑),0.457,0.280,0.280,0.453,0.428,0.118,0.001s
SD (↓),12254408.467,64913806.259,64913806.259,28009253.396,34445172.581,86450672.821,0.050s
SDbw (↓),0.471,1.906,1.906,0.829,0.937,2.900,0.002s
XB* (↓),0.285,1.299,1.299,0.133*,0.163*,1577.006,0.001s
S (↑),0.604,0.203,0.203,0.605*,0.554,-0.011,0.019s
DB (↓),0.605,1.826,1.826,0.566*,0.644,63.571,0.002s
CH (↑),2829.647,192.865,192.865,2320.455,1762.983,0.368,0.000s
ED-S (↑),0.572,-0.171,-0.171,0.392,0.365,-0.027,7.036s
ED-DB (↓),1.038,2.888,2.888,0.715*,1.350,7.941,2.285s
ED-CH (↑),1143.966,597.339,597.339,4189.867*,1433.543*,195.702,2.208s
MST-S (↑),0.575,0.003,0.003,0.367,0.217,-0.015,3.936s
MST-DB (↓),1.028,2.589,2.589,1.234,1.643,5.624,1.447s
MST-CH (↑),1126.751,771.669,771.669,1496.625*,1134.409*,235.203,1.448s
